Home,1h,Th,Away,1w,Tw
Campbell,16,44,Virginia Tech,26,60
UAlbany,39,71,Seton Hall,54,96
Binghamton,26,63,Loyola Maryland,22,57
Canisius,34,61,Cleveland St.,35,71
Coppin St.,21,41,Louisville,32,61
Delaware,44,78,Delaware St.,28,67
Denver,37,91,Nicholls,43,85
Merrimack,29,52,Ohio St.,35,76
Princeton,37,70,Duquesne,31,67
Radford,33,50,VCU,33,73
Richmond,34,61,Boston College,30,68
Saint Peter's,34,70,FDU,43,71
USC Upstate,44,83,East Carolina,41,81
Utah Valley,21,45,Charlotte,31,62
Cornell,42,83,George Mason,43,90
Evansville,39,76,Southeast Mo. St.,28,57
Eastern Ill.,24,61,Illinois St.,34,69
Stony Brook,28,63,Nebraska,36,84
Georgetown,32,60,Rutgers,38,71
Rice,32,64,Texas,41,80
Southeastern La.,17,48,BYU,52,105
Tennessee St.,42,75,Portland,28,65
LIU,17,58,UCLA,35,78
Northern Ariz.,40,62,Seattle U,28,60
Pacific,15,41,Nevada,55,88
Morgan St.,26,68,Fresno St.,43,87
