Home,1h,Th,Away,1w,Tw
Texas St.,40,75,Miami (OH),31,65
Loyola Maryland,31,77,Brown,29,75
Arkansas St.,31,75,Bowling Green,34,81
Ga. Southern,23,60,Eastern Mich.,40,70
High Point,51,98,Wofford,46,99
ULM,38,74,Central Mich.,31,64
Cornell,45,78,Fordham,24,73
Georgia St.,40,77,Western Mich.,29,70
William & Mary,42,89,George Washington,43,95
A&M-Corpus Christi,27,50,Houston,41,82
Campbell,26,63,East Carolina,39,77
UNCW,45,83,UNC Asheville,26,66
North Dakota St.,31,60,Creighton,41,89
Old Dominion,36,68,Ball St.,38,73
South Alabama,33,70,Buffalo,29,56
Western Caro.,42,71,Notre Dame,29,61
Marist,36,65,UMBC,22,59
Northeastern,34,74,La Salle,38,79
App State,36,78,NIU,48,91
Canisius,30,70,St. Bonaventure,37,67
Coppin St.,25,60,Mount St. Mary's,42,74
FDU,23,55,Seton Hall,47,85
Saint Peter's,38,75,NJIT,25,48
Montana St.,25,68,Seattle U,30,71
UT Martin,27,63,Mississippi St.,41,87
Drexel,29,74,Winthrop,33,72
Milwaukee,26,69,Providence,39,79
Ohio,40,78,Cleveland St.,38,82
UAlbany,41,78,Columbia,29,75
Bucknell,32,73,Niagara,29,64
Fresno St.,22,69,Kent St.,31,79
Saint Francis (PA),24,59,Santa Clara,46,82
Stetson,21,55,UNLV,36,71
Louisiana,45,78,Toledo,34,87
Eastern Ill.,25,65,Loyola Chicago,48,89
Holy Cross,32,68,Georgetown,37,67
Illinois St.,34,71,Saint Louis,46,80
Siena,22,48,Richmond,43,90
Utah St.,30,66,Bradley,28,72
Cal Poly,31,66,Wyoming,41,80
Long Beach St.,37,77,DePaul,21,73
New Mexico St.,37,74,UC Irvine,49,91
