Home,1h,Th,Away,1w,Tw
Air Force,43,82,LIU,27,67
Central Conn. St.,29,70,Quinnipiac,39,74
Liberty,35,71,Charlotte,23,59
Duquesne,33,90,Col. of Charleston,37,72
Kennesaw St.,34,67,Florida St.,49,94
UMass Lowell,49,81,Dartmouth,19,48
Jacksonville,26,56,Xavier,37,79
Penn,20,61,Saint Joseph's,33,69
Youngstown St.,23,62,Michigan,46,92
Abilene Christian,29,64,NC State,47,84
Arizona,41,78,Duke,33,73
Boston College,35,75,The Citadel,38,71
Belmont,31,76,Furman,46,99
Binghamton,32,60,Pittsburgh,40,89
Boston U.,22,45,Rutgers,30,69
Chattanooga,33,81,Louisville,27,71
Davidson,33,64,Maryland,32,61
Monmouth,32,73,West Virginia,33,65
Morehead St.,29,57,Purdue,42,87
Austin Peay,15,45,George Mason,42,67
Princeton,30,74,Hofstra,29,67
Radford,33,66,Marshall,23,62
Sacred Heart,40,81,Iona,39,88
Samford,34,65,VCU,31,75
Texas A&M,34,73,Ohio St.,33,66
Troy,32,80,Oregon St.,32,81
UCF,27,72,Miami (FL),41,88
USC Upstate,31,67,Vanderbilt,27,74
Southern Miss.,31,54,Akron,33,72
Virginia,39,73,Florida,35,70
Wake Forest,36,77,Georgia,40,80
Lehigh,38,65,Penn St.,38,74
UTSA,30,76,Minnesota,54,102
Alabama St.,37,67,Iowa,49,98
Eastern Wash.,32,64,Ole Miss,34,75
Grambling,20,63,Colorado,50,95
Gardner-Webb,36,68,Arkansas,48,86
Harvard,43,89,Rice,33,76
Indiana St.,37,80,Alabama,48,102
Manhattan,19,61,Kansas,44,99
Nicholls,44,68,LSU,25,66
Oakland,27,53,Illinois,28,64
Southeastern La.,28,71,Auburn,39,86
UTRGV,27,79,South Dakota,61,100
Tennessee Tech,26,72,Murray St.,36,78
Little Rock,25,71,UIC,38,86
Dayton,25,66,Northwestern,35,71
Rider,32,65,Marquette,49,95
Southeast Mo. St.,21,56,Butler,55,91
Temple,41,75,Navy,26,68
Delaware St.,30,59,Texas,39,86
IUPUI,21,66,Valparaiso,25,56
Memphis,26,70,Missouri,33,55
Montana,37,61,Oregon,37,75
Sacramento St.,39,73,Stanford,47,91
San Diego St.,28,65,BYU,33,74
Tennessee,43,80,Wisconsin,35,70
Yale,42,71,Gonzaga,47,86
Clemson,39,77,UAB,42,76
Virginia Tech,31,77,South Carolina,38,79
Prairie View,30,65,Washington St.,43,83
UC Riverside,13,53,Utah,48,82
Lafayette,33,50,UCLA,30,68
Pacific,40,87,California,38,79
