Home,1h,Th,Away,1w,Tw
Georgia,30,71,Oregon,40,82
Samford,17,45,Purdue,51,98
Brown,31,70,Colgate,31,72
Central Conn. St.,31,70,Rhode Island,47,81
Chicago St.,21,41,Bowling Green,32,70
The Citadel,27,59,NC State,36,72
Cleveland St.,41,77,Duquesne,38,79
Columbia,27,59,Providence,42,78
Delaware,44,78,Bucknell,25,57
Delaware St.,18,45,Penn St.,39,79
Hampton,36,80,Howard,40,92
Holy Cross,28,71,Siena,38,73
Iona,39,69,Col. of Charleston,46,71
Lafayette,35,60,Saint Joseph's,38,81
Maine,27,52,Charlotte,34,69
Monmouth,23,61,George Mason,29,72
Missouri St.,30,59,West Virginia,24,67
North Dakota St.,28,80,Western Mich.,38,76
Niagara,30,63,Notre Dame,29,70
NJIT,32,60,Miami,52,101
Oakland,35,73,Ohio St.,34,79
Princeton,32,68,Rutgers,28,61
SIUE,24,47,Dayton,27,63
UMBC,48,93,Louisville,40,94
VMI,36,75,Richmond,55,93
Winthrop,24,56,Clemson,33,78
American,31,63,Villanova,41,90
Cornell,39,84,Lehigh,44,78
FDU,54,92,Buffalo,44,86
Georgia St.,45,87,Belmont,47,89
Lipscomb,31,59,Wichita St.,44,76
Manhattan,35,61,Bryant,33,59
Merrimack,20,55,Vermont,36,67
Towson,24,57,Colorado,28,75
Wagner,31,64,Fordham,23,68
Alabama St.,30,59,Ole Miss,35,69
Ark.-Pine Bluff,40,79,Missouri,57,101
Arkansas St.,41,76,Wisconsin,56,105
Binghamton,39,61,Northwestern,36,72
Bradley,40,73,UAB,24,71
Boston U.,34,58,Northeastern,31,67
Coppin St.,19,55,Virginia Tech,45,100
Elon,55,78,Wake Forest,43,101
Eastern Mich.,26,55,Butler,34,94
Fairfield,34,70,Boston College,46,89
FIU,21,62,UCF,43,85
Jackson St.,36,77,Memphis,47,94
Loyola Maryland,30,73,Florida,42,93
Marist,42,71,Army West Point,26,55
Miami (OH),34,64,Evansville,32,72
Morehead St.,35,73,Alabama,55,105
Navy,18,48,Campbell,32,59
New Mexico St.,29,46,Kentucky,37,86
Oral Roberts,36,71,UT Arlington,31,75
Robert Morris,33,63,Xavier,39,77
Stonehill College,20,44,George Washington,37,89
Texas St.,34,66,Little Rock,38,71
Green Bay,18,44,Iowa St.,49,85
James Madison,37,79,Michigan St.,33,76
Youngstown St.,31,62,Louisiana,35,72
Dartmouth,21,54,Duke,42,92
UIC,30,58,Cincinnati,40,69
Southern U.,35,75,TCU,54,108
Morgan St.,26,59,Arizona,61,122
Portland St.,31,62,Air Force,27,55
Texas Southern,24,55,New Mexico,41,92
Warriors,11,28,Saint Mary's (CA),50,107
La. Tech,34,73,Colo. St.,33,81
Sam Houston,25,64,Pacific,25,57
Southern California,40,82,Kansas St.,30,69
Long Beach St.,31,73,Portland,32,78
Idaho,28,59,Washington St.,41,84
Saint Francis (PA),22,44,UCLA,32,75
Drexel,32,61,La Salle,32,67
FGCU,26,63,Indiana,28,69
UAlbany,26,71,Massachusetts,46,92
Roadrunners,30,65,Western Caro.,51,106
Mount St. Mary's,19,53,Maryland,33,68
Stony Brook,30,74,St. John's (NY),41,90
North Dakota,32,68,Iowa,56,110
UNI,36,77,North Texas,38,83
Presbyterian,24,68,Vanderbilt,28,62
UNC Asheville,32,74,Michigan,48,99
Auburn,43,82,Baylor,34,88
Florida A&M,27,54,Creighton,56,105
Sacramento St.,30,63,Nevada,39,77
UC Irvine,24,64,San Jose St.,24,72
Warriors,34,68,LMU (CA),46,109
Bucknell,33,61,Penn,53,80
Canisius,32,77,Syracuse,41,89
Yellow Jackets,21,41,Cleveland St.,48,102
Fla. Atlantic,43,75,Loyola Chicago,30,62
Troy,28,70,Ohio,43,88
Lipscomb,48,70,Drake,44,85
Lancers,41,66,North Dakota St.,50,93
Lobos,35,49,New Mexico St.,43,84
Arizona St.,18,56,Mississippi St.,39,71
Jackson St.,39,61,San Diego,35,87
Prairie View,27,60,Seattle U,39,71
Southern U.,40,85,UNLV,21,71
Pepperdine,48,78,UC Davis,31,79
American,24,56,William & Mary,35,75
Army West Point,25,44,Stonehill College,28,57
ETSU,28,76,Elon,39,79
Fairfield,24,80,Rhode Island,49,93
James Madison,43,113,Kent St.,38,108
Northwestern St.,40,71,Tulane,48,88
North Florida,33,81,Charleston So.,37,70
Utah Valley,24,79,Sam Houston,27,73
Florida A&M,25,54,Nebraska,41,81
Mercer,33,66,Chicago St.,30,61
Towson,35,70,Coppin St.,24,49
Cal Poly,33,76,Denver,51,97
Cal-Baker.,23,59,Southern California,47,85
New Mexico,25,58,Saint Mary's (CA),40,72
Saint Francis (PA),27,52,San Fran.,41,84
Air Force,43,82,LIU,27,67
Central Conn. St.,29,70,Quinnipiac,39,74
Liberty,35,71,Charlotte,23,59
Duquesne,33,90,Col. of Charleston,37,72
Kennesaw St.,34,67,Florida St.,49,94
UMass Lowell,49,81,Dartmouth,19,48
Jacksonville,26,56,Xavier,37,79
Penn,20,61,Saint Joseph's,33,69
Youngstown St.,23,62,Michigan,46,92
Arizona,41,78,Duke,33,73
Boston College,35,75,The Citadel,38,71
Belmont,31,76,Furman,46,99
Binghamton,32,60,Pittsburgh,40,89
Boston U.,22,45,Rutgers,30,69
Chattanooga,33,81,Louisville,27,71
Davidson,33,64,Maryland,32,61
Monmouth,32,73,West Virginia,33,65
Morehead St.,29,57,Purdue,42,87
Austin Peay,15,45,George Mason,42,67
Princeton,30,74,Hofstra,29,67
Radford,33,66,Marshall,23,62
Sacred Heart,40,81,Iona,39,88
Samford,34,65,VCU,31,75
Texas A&M,34,73,Ohio St.,33,66
Troy,32,80,Oregon St.,32,81
Virginia,39,73,Florida,35,70
Wake Forest,36,77,Georgia,40,80
Lehigh,38,65,Penn St.,38,74
UTSA,30,76,Minnesota,54,102
Alabama St.,37,67,Iowa,49,98
Grambling,20,63,Colorado,50,95
Gardner-Webb,36,68,Arkansas,48,86
Harvard,43,89,Rice,33,76
Indiana St.,37,80,Alabama,48,102
Manhattan,19,61,Kansas,44,99
Oakland,27,53,Illinois,28,64
Little Rock,25,71,UIC,38,86
Dayton,25,66,Northwestern,35,71
Rider,32,65,Marquette,49,95
Temple,41,75,Navy,26,68
Delaware St.,30,59,Texas,39,86
IUPUI,21,66,Valparaiso,25,56
Memphis,26,70,Missouri,33,55
Montana,37,61,Oregon,37,75
Sacramento St.,39,73,Stanford,47,91
San Diego St.,28,65,BYU,33,74
Tennessee,43,80,Wisconsin,35,70
Wright St.,42,77,Colo. St.,45,105
Yale,42,71,Gonzaga,47,86
Clemson,39,77,UAB,42,76
Virginia Tech,31,77,South Carolina,38,79
Prairie View,30,65,Washington St.,43,83
UC Riverside,13,53,Utah,48,82
Lafayette,33,50,UCLA,30,68
Pacific,40,87,California,38,79
Texas St.,40,75,Miami (OH),31,65
Loyola Maryland,31,77,Brown,29,75
Arkansas St.,31,75,Bowling Green,34,81
Ga. Southern,23,60,Eastern Mich.,40,70
High Point,51,98,Wofford,46,99
Cornell,45,78,Fordham,24,73
Georgia St.,40,77,Western Mich.,29,70
William & Mary,42,89,George Washington,43,95
Campbell,26,63,East Carolina,39,77
UNCW,45,83,UNC Asheville,26,66
North Dakota St.,31,60,Creighton,41,89
Old Dominion,36,68,Ball St.,38,73
South Alabama,33,70,Buffalo,29,56
Western Caro.,42,71,Notre Dame,29,61
Marist,36,65,UMBC,22,59
Northeastern,34,74,La Salle,38,79
Texas Southern,20,52,Arizona St.,28,63
Coppin St.,25,60,Mount St. Mary's,42,74
FDU,23,55,Seton Hall,47,85
St. Peter's,38,75,NJIT,25,48
Montana St.,25,68,Seattle U,30,71
UT Martin,27,63,Mississippi St.,41,87
Drexel,29,74,Winthrop,33,72
Milwaukee,26,69,Providence,39,79
Ohio,40,78,Cleveland St.,38,82
UAlbany,41,78,Columbia,29,75
Bucknell,32,73,Niagara,29,64
Fresno St.,22,69,Kent St.,31,79
Saint Francis (PA),24,59,Santa Clara,46,82
Stetson,21,55,UNLV,36,71
Louisiana,45,78,Toledo,34,87
E. Illinois,25,65,Loyola Chicago,48,89
Holy Cross,32,68,Georgetown,37,67
Illinois St.,34,71,Saint Louis,46,80
Siena,22,48,Richmond,43,90
Utah St.,30,66,Bradley,28,72
Cal Poly,31,66,Wyoming,41,80
Long Beach St.,37,77,DePaul,21,73
New Mexico St.,37,74,UC Irvine,49,91
Bryant,25,57,Rutgers,29,66
Maryland,30,63,UAB,24,66
Air Force,19,57,Delaware,29,65
Idaho St.,25,55,Iowa St.,44,86
Elon,39,68,North Dakota,37,85
San Jose St.,21,42,Texas Tech,22,56
Davidson,28,65,Clemson,23,68
Howard,40,86,James Madison,59,107
Lafayette,26,53,Pepperdine,42,76
Merrimack,28,71,Maine,29,65
Gardner-Webb,34,62,Baylor,40,77
UC Riverside,30,65,Portland,38,76
Yale,46,83,LMU (CA),43,80
Army West Point,31,64,Indiana,32,72
Robert Morris,31,62,Towson,35,66
Weber St.,26,61,Saint Mary's (CA),37,57
UC Davis,32,65,Montana,42,78
Nevada,41,83,Washington,30,76
