Home,1h,Th,Away,1w,Tw
Michigan,48,89,St. John's (NY),38,73
The Citadel,31,64,Presbyterian,35,71
Central Mich.,30,67,Florida St.,50,94
ETSU,20,47,Butler,45,81
FGCU,35,74,Pittsburgh,45,86
FIU,39,80,Miami (FL),41,86
Hampton,32,68,Norfolk St.,41,75
Villanova,30,72,Penn,32,76
Quinnipiac,36,81,Massachusetts,45,102
Siena,27,58,American,35,78
Stony Brook,26,63,Duquesne,35,85
North Florida,26,77,South Carolina St.,45,87
VMI,33,64,South Carolina,41,74
Ark.-Pine Bluff,39,85,Central Ark.,43,83
SFA,48,96,Northwestern St.,36,70
Western Caro.,37,66,Middle Tenn.,33,64
Old Dominion,31,77,Arkansas,37,86
Oral Roberts,27,69,Missouri St.,39,84
Rider,29,50,Nebraska,38,64
South Dakota St.,29,68,Kansas St.,38,91
SIUE,31,50,Missouri,38,68
Stetson,16,48,Houston,38,79
Southern U.,23,59,Arizona,35,97
Xavier,29,71,Purdue,37,83
UC Santa Barbara,44,76,UTEP,44,89
 CSU Bakersfield,34,63,California,49,83
LIU,18,53,Pepperdine,39,88
