Home,1h,Th,Away,1w,Tw
Iona,32,68,High Point,41,82
Oakland,44,74,LMU (CA),35,69
Siena,19,56,Central Mich.,30,70
Southern Miss.,25,67,Cal St. Fullerton,34,74
Norfolk St.,38,69,FGCU,28,66
Drake,32,68,SFA,38,92
Long Beach St.,24,52,Illinois St.,32,61
UNCW,35,83,Murray St.,37,81
Stetson,43,85,Milwaukee,30,67
Utah Valley,24,61,Cornell,28,74
Tennessee,30,73,Syracuse,25,56
 CSU Bakersfield,30,75,Sacramento St.,38,71
Kennesaw St.,43,79,Northeastern,42,77
San Jose St.,29,71,Hampton,33,52
The Citadel,13,62,Idaho St.,23,61
Indiana,34,74,Louisville,29,66
Marshall,44,80,FIU,25,69
Purdue,30,73,Gonzaga,35,63
Louisiana,34,85,Wright St.,45,91
Florida St.,42,83,UNLV,35,75
Fordham,43,72,Kent St.,40,79
Ga. Southern,29,64,East Carolina,37,82
George Mason,34,73,South Dakota St.,36,71
Wisconsin,28,65,Virginia,18,41
Rider,25,48,Stony Brook,34,55
Charleston So.,30,73,Bethune-Cookman,36,79
Delaware St.,30,72,NJIT,46,81
Howard,24,61,Bryant,36,67
UMass Lowell,34,69,Saint Peter's,29,61
N.C. Central,38,78,Campbell,34,75
Sam Houston,33,88,Troy,42,86
Saint Joseph's,38,88,Kentucky,41,96
UConn,46,81,Texas,33,71
Central Ark.,27,68,Southeast Mo. St.,27,70
Hofstra,59,102,Buffalo,26,68
Utah St.,33,65,Akron,29,62
Colorado,28,64,Richmond,25,59
New Orleans,37,68,Oklahoma St.,43,96
Oregon,28,67,Florida A&M,27,54
South Carolina St.,20,70,Tulsa,44,90
Charlotte,26,71,UCF,22,74
West Virginia,36,58,SMU,25,70
Abilene Christian,37,69,Missouri St.,45,87
Green Bay,23,54,Montana St.,24,53
Navy,31,59,San Diego,30,67
Bradley,40,80,Tulane,36,77
North Dakota,35,73,Pacific,35,71
UCLA,35,69,Marquette,30,71
