Home,1h,Th,Away,1w,Tw
Wyoming,37,78,Furman,28,71
Oakland,36,77,Drake,37,85
Holy Cross,36,74,IUPUI,28,61
Georgia,34,64,Providence,32,71
Utah Valley,34,67,Southern Miss.,30,65
North Texas,40,65,Towson,18,39
Boise St.,38,68,Clemson,41,85
Colgate,28,57,Weber St.,20,55
Eastern Ill.,30,64,Miami (OH),43,76
Grambling,14,37,Iowa St.,48,92
Loyola Maryland,37,79,UMBC,35,94
Manhattan,26,67,Central Conn. St.,35,63
Mississippi St.,27,66,Northwestern,29,57
Prairie View,35,78,UT Martin,32,66
SIUE,35,74,South Alabama,38,86
UConn,37,77,Indiana,30,57
SFA,33,86,LMU (CA),39,76
UAlbany,47,82,Quinnipiac,40,85
Little Rock,40,77,Georgia St.,40,88
Northeastern,29,82,East Carolina,33,76
Northern Ky.,31,66,Cincinnati,45,90
Tennessee Tech,34,63,Chattanooga,29,68
Cal St. Fullerton,31,70,Cornell,43,88
Elon,31,70,Winthrop,39,78
Miami (FL),47,91,Kansas St.,28,83
LSU,46,86,Wake Forest,36,80
Yale,36,71,Gardner-Webb,23,70
Texas,41,81,Louisville,38,80
Washington St.,39,78,Rhode Island,32,57
Western Mich.,21,56,Ohio St.,41,73
American,34,83,Georgetown,35,88
San Franciso,33,70,DePaul,30,54
Ga. Southern,48,92,Kennesaw St.,50,96
Marshall,26,60,Utah St.,39,83
Wofford,33,76,Virginia Tech,43,98
George Mason,22,49,Charlotte,25,54
Vermont,33,61,Liberty,35,71
Fordham,16,45,Abilene Christian,32,59
Alcorn,16,49,Michigan St.,44,81
Jackson St.,34,73,Missouri,37,72
St. John's (NY),52,91,Utah,43,82
UT Arlington,37,56,Arizona,43,101
Grand Canyon,29,68,South Carolina,30,75
FIU,28,71,Akron,35,77
Saint Mary's (CA),18,49,Xavier,28,66
Brown,32,70,Southern California,35,81
Kent St.,27,52,Missouri St.,33,56
Southern U.,27,60,Illinois,45,88
Saint Louis,30,69,Wichita St.,44,88
South Dakota St.,30,80,UCF,32,83
Dayton,28,55,Houston,36,69
San Diego St.,43,100,Washington,40,97
