Home,1h,Th,Away,1w,Tw
Bryant,25,57,Rutgers,29,66
Eastern Wash.,30,73,Cincinnati,38,85
Maryland,30,63,UAB,24,66
Air Force,19,57,Delaware,29,65
Idaho St.,25,55,Iowa St.,44,86
Elon,39,68,North Dakota,37,85
Lehigh,34,68,North Carolina,43,90
San Jose St.,21,42,Texas Tech,22,56
Davidson,28,65,Clemson,23,68
Sam Houston,30,70,Oklahoma St.,38,85
Howard,40,86,James Madison,59,107
Lafayette,26,53,Pepperdine,42,76
Merrimack,28,71,Maine,29,65
San Franciso,24,58,Boise St.,32,63
Gardner-Webb,34,62,Baylor,40,77
N.C. Central,23,54,Georgia,27,64
UC Riverside,30,65,Portland,38,76
Northern Ariz.,29,55,Grand Canyon,41,89
Yale,46,83,LMU (CA),43,80
Army West Point,31,64,Indiana,32,72
Robert Morris,31,62,Towson,35,66
Weber St.,26,61,Saint Mary's (CA),37,57
UC Davis,32,65,Montana,42,78
Nevada,41,83,Washington,30,76
