Home,1h,Th,Away,1w,Tw
UTEP,40,75,California,35,72
Iona,41,76,Long Beach St.,40,80
LMU (CA),41,61,FIU,30,60
Binghamton,31,75,Sacred Heart,48,89
Central Mich.,24,61,Stetson,37,71
UNCW,34,56,App State,33,86
Morgan St.,29,72,Radford,37,82
Texas St.,20,48,McNeese,26,59
Oakland,30,78,Marshall,29,71
Louisiana,33,68,Buffalo,21,60
Syracuse,25,57,Gonzaga,39,76
Ga. Southern,34,76,Northeastern,42,93
Florida St.,27,77,Colorado,30,71
N.C. Central,37,61,The Citadel,35,67
Southern Utah,25,53,Lousiana Tech,35,67
Drake,35,79,Akron,29,59
High Point,37,74,Illinois St.,30,72
Kennesaw St.,47,84,East Carolina,43,85
Rice,34,88,Indiana St.,55,103
UNLV,23,65,Richmond,38,82
UAlbany,25,62,Army West Point,28,59
Boston U.,21,45,Davidson,36,69
Idaho St.,41,69,Campbell,25,55
Lehigh,42,79,Monmouth,43,88
LIU,25,67,Columbia,41,77
La Salle,29,66,Duke,39,95
Marist,31,71,New Hampshire,39,74
UMBC,24,68,Maryland,57,92
USC Upstate,25,58,Ball St.,32,75
SFA,26,49,Utah St.,32,79
UAB,29,58,Middle Tenn.,28,57
Wright St.,48,76,Hofstra,38,85
Alabama A&M,15,54,Auburn,49,84
Alcorn,33,74,TCU,41,93
Tennessee,31,67,Purdue,30,71
Pepperdine,30,60,UC Irvine,34,76
Fresno St.,28,81,New Mexico St.,32,76
Ark.-Pine Bluff,36,67,Minnesota,51,86
Siena,25,59,Milwaukee,20,61
UC Riverside,38,74,Green Bay,33,68
Kansas,28,59,Marquette,38,73
Toledo,32,84,New Mexico,42,92
