Home,1h,Th,Away,1w,Tw
Col. of Charleston,36,64,Vermont,27,73
St. John's (NY),30,53,North Texas,20,52
Saint Louis,34,79,Wyoming,35,69
Maine,34,78,Northwestern St.,33,65
Dayton,30,70,LSU,32,67
Denver,37,74,SIUE,43,77
St. Bonaventure,30,66,Oklahoma St.,29,64
Houston,37,65,Towson,17,49
Bryant,37,79,Boston U.,47,95
Cal St. Fullerton,18,44,UCF,31,72
Furman,33,74,Liberty,38,88
NJIT,39,73,American,45,87
Presbyterian,28,81,North Florida,34,69
Texas Southern,14,33,Virginia,26,62
Wright St.,49,80,Indiana,54,89
Lousiana Tech,28,73,ULM,23,63
Alcorn,42,77,UAB,41,80
Jackson St.,23,52,Tulsa,32,72
Nicholls,28,102,South Alabama,40,97
A&M-Corpus Christi,31,64,Texas Tech,41,73
UMass Lowell,31,69,Arizona St.,22,71
Missouri,32,70,Minnesota,38,68
UT Arlington,36,80,New Mexico,48,82
Auburn,39,83,Notre Dame,33,59
Utah,31,77,Wake Forest,41,70
North Dakota St.,40,78,Montana,33,69
Montana St.,33,63,California,27,60
