Home,1h,Th,Away,1w,Tw
North Dakota St.,29,53,UC Davis,38,68
Wisconsin,21,59,Providence,37,72
Bucknell,28,57,La Salle,33,69
Wofford,31,61,Tennessee,36,82
Bowling Green,28,62,Oakland,38,81
Brown,27,64,New Hampshire,43,82
Colgate,46,75,Syracuse,30,79
Duke,31,74,Michigan St.,20,65
Eastern Mich.,28,57,Fla. Atlantic,51,100
Florida A&M,28,68,Florida,38,89
Ga. Southern,39,68,Jacksonville,46,85
Hofstra,29,60,George Washington,35,71
IUPUI,21,57,Indiana St.,48,96
Jacksonville St.,27,57,West Virginia,40,70
Lipscomb,40,96,Tennessee Tech,22,65
Mercer,30,66,Morehead St.,38,74
N.C. A&T,19,51,Virginia,49,80
Northeastern,28,56,Harvard,41,80
Sacred Heart,39,84,Holy Cross,31,77
Saint Francis (PA),18,53,Penn St.,46,83
Temple,32,66,Drexel,25,64
Toledo,41,78,Wright St.,40,77
Wagner,26,53,Rhode Island,37,69
Boston U.,24,53,Howard,23,64
North Ala.,28,54,Mississippi St.,36,81
Alcorn,34,84,Arkansas St.,48,100
UIC,36,72,Loyola Chicago,37,67
Marquette,36,71,Illinois,31,64
Prairie View,35,79,Abilene Christian,37,74
South Alabama,23,46,Alabama,47,102
Texas A&M,39,79,SMU,32,66
UTRGV,22,55,TCU,33,88
Texas St.,22,54,Oklahoma,45,93
UTSA,40,82,Lamar University,42,90
Green Bay,31,59,Valparaiso,26,64
Western Ky.,43,86,Murray St.,34,81
Western Mich.,28,59,Northwestern,35,63
Milwaukee,33,79,Colorado,53,106
South Dakota,25,60,DePaul,36,72
Santa Clara,44,89,Stanford,46,77
Southern U.,45,84,Utah St.,46,93
Kansas,41,89,Kentucky,48,84
App State,32,71,Oregon St.,43,81
Iowa,43,84,Creighton,43,92
Jackson St.,24,66,LMU (CA),40,88
Long Beach St.,39,76,San Diego St.,47,88
Kansas City,33,61,Baylor,51,99
UC Irvine,29,70,Southern California,26,60
