Home,1h,Th,Away,1w,Tw
Pepperdine,48,78,UC Davis,31,79
American,24,56,William & Mary,35,75
ETSU,28,76,Elon,39,79
Fairfield,24,80,Rhode Island,49,93
James Madison,43,113,Kent St.,38,108
Northwestern St.,40,71,Tulane,48,88
North Florida,33,81,Charleston So.,37,70
Utah Valley,24,79,Sam Houston,27,73
Western Ky.,29,61,Wichita St.,27,71
Alabama A&M,30,67,North Ala.,40,83
Florida A&M,25,54,Nebraska,41,81
Lamar University,19,67,SMU,31,78
Mercer,33,66,Chicago St.,30,61
SFA,31,62,Middle Tenn.,22,67
Towson,35,70,Coppin St.,24,49
Cal Poly,33,76,Denver,51,97
 CSU Bakersfield,23,59,Southern California,47,85
New Mexico,25,58,Saint Mary's (CA),40,72
Portland St.,40,82,UC Santa Barbara,40,76
Saint Francis (PA),27,52,San Franciso,41,84
Northern Ky.,35,67,Washington,41,75
