Home,1h,Th,Away,1w,Tw
Xavier,37,71,Washington,30,74
Sacred Heart,37,66,Loyola Maryland,22,51
Mississippi St.,36,76,Washington St.,30,64
Mount St. Mary's,31,72,Georgetown,43,83
Wagner,22,51,Seton Hall,32,72
Alabama A&M,28,81,Lipscomb,51,106
Cleveland St.,32,62,Eastern Mich.,29,69
Columbia,44,78,Temple,37,73
New Hampshire,30,67,George Washington,35,79
Ball St.,27,50,Evansville,30,74
NIU,58,98,Little Rock,40,93
Northwestern St.,35,75,Presbyterian,31,78
Princeton,38,82,Monmouth,27,57
Seattle U,28,56,VCU,27,60
USC Upstate,29,53,Minnesota,31,67
VMI,33,69,Northern Ariz.,38,78
Rhode Island,26,61,Northwestern,33,72
N.C. Central,18,66,Longwood,30,73
Norfolk St.,24,53,San Jose St.,39,77
Coppin St.,21,46,Eastern Ill.,23,48
Marist,24,59,Binghamton,38,82
Gardner-Webb,20,52,Colgate,26,59
McNeese,33,74,Western Caro.,38,76
New Orleans,31,70,Loyola Chicago,41,73
Oregon St.,24,63,Nebraska,44,84
Harvard,35,64,Boston College,33,73
IUPUI,27,61,Winthrop,37,74
Lamar University,39,76,Pacific,31,77
Maine,28,58,North Florida,38,67
Portland St.,35,73,Cal Poly,22,57
Hampton,54,92,FGCU,30,85
Bryant,26,61,Fla. Atlantic,29,52
Howard,31,63,Rutgers,39,85
Weber St.,33,75,Yale,29,65
Elon,44,83,Holy Cross,35,69
Southeastern La.,30,63,Santa Clara,26,65
Jacksonville St.,22,59,North Ala.,20,61
Texas Southern,27,50,Creighton,47,82
Morgan St.,29,50,BYU,42,93
Portland,43,83,Nevada,53,108
