Home,1h,Th,Away,1w,Tw
Hawaii,34,40,San Diego,25,30
Brown,36,93,Kansas City,38,83
Tennessee St.,43,91,Southeastern La.,48,77
Jackson St.,40,81,Georgetown,39,88
Loyola Maryland,31,70,Missouri,35,78
Alabama St.,20,66,Merrimack,21,60
Maine,30,56,Columbia,34,75
NJIT,29,51,Wagner,31,64
New Orleans,34,69,North Dakota,27,71
Mercer,36,66,Western Mich.,32,72
Middle Tenn.,38,68,Ohio,40,80
Army West Point,25,68,Binghamton,37,75
Canisius,33,85,Western Ky.,37,77
East Carolina,31,59,George Mason,39,81
Evansville,51,93,Southeast Mo. St.,29,74
Miami (OH),18,60,St. Bonaventure,46,90
Monmouth,32,63,Lafayette,17,53
Northeastern,30,66,Princeton,35,80
South Carolina St.,32,74,Missouri St.,44,92
UMBC,42,81,William & Mary,41,96
Southern Miss.,41,90,Milwaukee,26,84
Lamar University,30,72,Longwood,45,83
Texas St.,32,73,UT Arlington,27,66
UT Martin,40,94,Chicago St.,35,71
Tulsa,39,82,Little Rock,41,84
Eastern Mich.,36,74,Central Ark.,36,71
N.C. A&T,33,83,Samford,58,101
Alabama,47,99,Oregon,39,91
Bucknell,27,49,Marist,39,73
Howard,32,87,Mount St. Mary's,33,83
Jacksonville,52,91,FDU,45,90
LIU,34,64,Northern Ky.,28,72
Niagara,38,69,Saint Francis (PA),24,61
Southern U.,24,59,Valparaiso,31,71
Belmont,37,84,Penn,27,79
UNC Asheville,40,85,Wofford,29,82
UNCW,37,71,FGCU,25,55
Delaware St.,32,72,Bethune-Cookman,28,64
Furman,44,86,UAB,52,92
Georgia St.,37,57,Charlotte,26,65
Alabama A&M,26,59,Cleveland St.,43,86
California,34,67,San Diego St.,39,76
Holy Cross,28,45,St. John's (NY),44,91
UIC,46,89,George Washington,37,79
Norfolk St.,39,67,Wichita St.,48,80
Ohio St.,34,86,Santa Clara,26,56
South Alabama,26,55,Maryland,29,68
Texas Southern,30,71,Drake,43,77
UTEP,24,47,LMU (CA),37,67
Lipscomb,23,61,Bowling Green,45,82
Dartmouth,30,65,Saint Louis,41,66
North Dakota St.,40,71,Grand Canyon,35,86
UTRGV,17,58,Arkansas St.,51,75
Vermont,29,70,Bradley,35,79
NIU,43,89,DePaul,31,79
