Home,1h,Th,Away,1w,Tw
BYU,32,77,Arizona St.,17,49
Texas A&M,44,89,Fla. Atlantic,46,96
Bryant,25,75,Xavier,49,100
Mercer,32,60,Tennessee St.,17,59
Charleston So.,32,56,Wake Forest,28,71
Jacksonville St.,31,77,UTSA,26,62
North Carolina,35,87,Arkansas,38,72
Brown,31,59,Delaware,30,67
Penn St.,39,78,Butler,42,88
Ark.-Pine Bluff,46,74,Ball St.,40,92
Evansville,36,85,Chattanooga,40,77
Manhattan,32,60,UConn,49,90
Monmouth,51,93,Belmont,37,84
UNC Asheville,30,75,Lipscomb,42,86
Nicholls,24,61,Mississippi St.,36,74
Toledo,40,74,Indiana St.,40,76
A&M-Corpus Christi,27,61,LIU,40,78
Southeastern La.,24,67,Western Mich.,34,68
Delaware St.,32,82,Longwood,35,84
Oregon St.,27,51,Pittsburgh,39,76
Oklahoma,36,72,Southern California,39,70
Villanova,44,79,Memphis,16,63
Davidson,20,55,Saint Mary's (CA),44,89
Jacksonville,29,74,Robert Morris,31,65
Merrimack,30,71,Samford,33,79
Montana,14,44,Houston,41,79
Rice,31,68,UC Irvine,31,83
Canisius,36,76,Wofford,21,67
Lafayette,32,72,Penn,35,74
Middle Tenn.,21,40,UIC,34,70
Grambling,34,67,Troy,36,80
Winthrop,29,69,Georgia,36,78
Baylor,41,95,Florida,41,91
Iowa St.,30,62,Virginia Tech,40,71
Bethune-Cookman,23,65,Lamar University,36,83
Iowa,44,85,Seton Hall,33,72
Texas Tech,35,73,Michigan,21,57
Pepperdine,28,71,New Mexico,52,90
Alabama A&M,36,71,ETSU,38,82
Alabama,33,81,Ohio St.,38,92
Lehigh,29,64,Providence,41,78
Marshall,41,82,Kentucky,69,118
New Hampshire,37,83,Fairfield,35,80
Ohio,34,94,George Washington,44,99
Western Ky.,37,72,Bowling Green,30,65
Youngstown St.,35,69,Dayton,37,77
Alcorn,37,69,Clemson,48,90
UTRGV,23,57,Hawaii,43,76
North Florida,18,63,LSU,36,75
Vanderbilt,29,67,Arizona St.,44,82
VCU,29,61,Boise St.,28,65
UNI,49,73,Stanford,27,51
NC State,43,86,BYU,38,95
Oregon,34,82,Santa Clara,39,88
Arkansas St.,28,57,San Diego,27,71
