Home,1h,Th,Away,1w,Tw
Northern Ariz.,29,61,Hawaii,35,70
Iona,47,89,Buffalo,24,64
App State,33,67,Murray St.,28,57
North Carolina,35,91,UNI,41,69
Morgan St.,39,83,Chicago St.,45,84
Georgia St.,37,93,Little Rock,45,90
Southern Utah,28,74,Texas St.,25,67
Long Beach St.,43,82,Louisiana,40,92
Central Conn. St.,27,60,Massachusetts,39,89
Harvard,36,76,Colgate,30,70
Tennessee Tech,28,79,Presbyterian,40,75
Grambling,26,68,Sam Houston,44,86
Villanova,41,85,Texas Tech,33,69
Tennessee,35,60,Kansas,35,69
North Ala.,39,103,UT Martin,36,105
Sacramento St.,44,71,Austin Peay,35,74
Ole Miss,38,77,Temple,33,76
Creighton,45,88,Loyola Chicago,37,65
McNeese,29,62,Lousiana Tech,35,71
Princeton,37,76,Old Dominion,30,56
Mount St. Mary's,39,65,American,33,68
The Citadel,30,58,Campbell,29,65
Illinois St.,21,49,Wright St.,39,74
Purdue,45,78,Marquette,33,75
VMI,20,54,Air Force,36,64
Michigan,25,67,Memphis,37,71
A&M-Corpus Christi,30,73,Northern Ky.,41,88
Virginia,26,56,West Virginia,23,54
Baylor,44,88,Oregon St.,26,72
Bucknell,26,61,St. Bonaventure,32,67
ETSU,34,70,Cleveland St.,31,72
Indiana St.,46,90,Pepperdine,31,82
South Carolina St.,37,59,Missouri,35,82
High Point,27,92,Hofstra,33,97
Alabama St.,27,67,Samford,41,99
Alcorn,33,69,UT Arlington,36,82
Central Ark.,22,56,Kansas St.,49,100
Duquesne,39,79,Nebraska,37,89
Idaho,24,55,Seattle U,54,92
South Dakota St.,34,65,Southern Miss.,22,54
Arkansas,22,77,Stanford,20,74
Wisconsin,24,69,SMU,32,61
James Madison,51,95,Fresno St.,23,64
UC Riverside,29,68,Montana St.,28,69
Florida,39,86,Pittsburgh,34,71
New Mexico,46,90,Rice,33,56
Bradley,37,63,UTEP,26,59
UC Irvine,39,77,Toledo,32,71
