Home,1h,Th,Away,1w,Tw
Niagara,38,73,Hawaii,48,92
Sacred Heart,35,80,UMBC,44,85
North Texas,34,62,LSU,35,66
Vermont,47,78,Saint Louis,32,68
Norfolk St.,33,64,Fordham,43,77
NIU,35,70,Georgia St.,34,64
South Dakota,39,85,VMI,37,81
St. John's (NY),40,81,Dayton,38,88
Col. of Charleston,28,60,Wyoming,30,67
Miami (FL),39,79,Georgia,29,68
Abilene Christian,33,77,San Jose St.,43,71
Denver,30,75,South Alabama,33,82
Gardner-Webb,27,62,Weber St.,34,61
Presbyterian,25,66,Maine,32,80
Houston,39,76,Utah,30,66
Oklahoma St.,25,64,Notre Dame,33,66
Holy Cross,22,51,Winthrop,42,89
Quinnipiac,36,67,Army West Point,25,58
Hampton,36,62,Kent St.,55,100
Bucknell,29,60,Duke,44,90
Colgate,20,50,Yale,36,68
Delaware St.,32,71,Grambling,25,63
Kansas St.,29,73,Providence,26,70
Butler,25,54,Michigan St.,37,74
William & Mary,27,71,Air Force,33,80
Central Ark.,33,71,Vanderbilt,41,75
Charleston So.,23,53,NC State,42,87
Coppin St.,20,48,Miami (OH),40,76
Davidson,31,68,ETSU,23,70
Fairfield,20,47,Drexel,39,65
Florida St.,22,68,Florida,52,89
Harvard,28,78,Massachusetts,37,75
Jacksonville,22,56,Pittsburgh,52,107
Long Beach St.,48,94,Michigan,50,86
Morehead St.,26,51,Penn St.,37,74
Northwestern St.,32,74,North Florida,36,80
Radford,39,73,James Madison,35,76
Rider,22,58,Duquesne,37,77
Robert Morris,35,68,Wisconsin,37,78
Sacramento St.,30,57,Tulane,41,92
SIUE,27,60,Nicholls,23,51
St. Bonaventure,28,60,Auburn,48,77
Towson,33,61,Wake Forest,35,71
Elon,36,86,IUPUI,36,72
South Carolina St.,32,72,Samford,48,89
Alabama St.,36,75,Memphis,47,92
Arkansas St.,39,74,Iowa,49,88
Mercer,29,67,Alabama,56,98
Missouri St.,42,70,FGCU,29,61
Oral Roberts,31,66,Texas A&M,38,74
UTRGV,33,66,Oklahoma,47,90
UC Riverside,26,52,North Carolina,37,77
Valparaiso,45,64,Illinois,38,87
UTSA,25,62,Texas St.,27,72
Maryland,15,40,Villanova,39,57
Eastern Wash.,35,70,Stanford,47,95
Grand Canyon,33,76,San Franciso,36,72
Austin Peay,27,63,UTEP,38,71
Sam Houston,33,67,Ole Miss,31,70
Tennessee St.,40,67,Oregon,48,92
Wichita St.,36,66,Liberty,39,83
San Diego St.,34,79,Saint Mary's (CA),33,54
UNLV,40,82,Pepperdine,30,68
Belmont,35,68,Arizona,56,100
DePaul,32,68,South Carolina,41,73
