,Home,1h,Th,Away,1w,Tw,home_ATRatio,home_Apg,home_BPpg,home_Bpg,home_EFG%,home_FbP,home_Fg%,home_Fg%D,home_Fpg,home_FTApg,home_FTp,home_FTMpg,home_RM,RDpg_x,home_ROpg,home_Rpg,home_SD,home_SO,home_SM,home_Spg,home_3PApg,home_3P%,home_3PD%,home_3Ppg,home_TOM,home_Tpg,home_TFpg,away_ATRatio,away_Apg,away_BPpg,away_Bpg,away_EFG%,away_FbP,away_Fg%,away_Fg%D,away_Fpg,away_FTApg,away_FTp,away_FTMpg,away_RM,RDpg_y,away_ROpg,away_Rpg,away_SD,away_SO,away_SM,away_Spg,away_3PApg,away_3P%,away_3PD%,away_3Ppg,away_TOM,away_Tpg,away_TFpg
475,Elon,31,70,Winthrop,39,78,1.14,13.8,29.0,2.3,0.554,8.83,46.49,47.696,16.8,20.2,70.25,14.2,0.0,23.5,9.5,33.0,80.2,77.3,-2.0,4.8,24.5,41.5,32.8,10.2,-2.5,12.2,9.67,0.81,10.0,28.33,2.5,0.548,7.0,48.23,39.077,16.2,29.0,72.41,21.0,2.0,24.0,10.0,34.0,63.0,77.8,14.0,7.7,19.0,35.96,27.2,6.8,2.0,12.3,14.33
476,Miami (FL),47,91,Kansas St.,28,83,1.29,16.0,10.8,5.2,0.615,17.2,52.36,41.298,15.0,19.6,82.65,16.2,0.0,28.2,7.8,36.0,72.6,89.0,16.0,8.6,23.6,45.76,26.8,10.8,2.0,12.4,14.4,0.96,15.6,17.0,3.6,0.508,10.2,43.57,45.714,18.2,19.8,75.76,15.0,3.0,24.4,14.4,38.8,77.2,79.8,2.0,7.6,27.8,33.09,34.9,9.2,-2.0,16.2,14.2
477,LSU,46,86,Wake Forest,36,80,0.84,10.8,28.4,3.8,0.539,8.2,47.7,39.643,17.0,24.2,71.07,17.2,0.0,24.0,10.6,34.6,68.0,78.2,10.0,10.4,18.4,38.04,36.6,7.0,3.8,12.8,16.6,1.04,11.6,5.8,5.4,0.551,8.0,47.68,44.201,15.6,16.4,80.49,13.2,-3.0,25.2,8.8,34.0,76.4,79.8,3.0,5.2,25.0,36.0,35.5,9.0,-1.2,11.2,10.0
478,Yale,36,71,Gardner-Webb,23,70,1.34,13.7,17.67,2.8,0.526,6.83,47.24,40.214,14.2,18.0,73.15,13.2,1.0,28.33,7.83,36.17,69.0,76.7,7.0,5.5,18.2,35.78,30.7,6.5,1.0,10.2,11.17,1.01,12.5,26.5,2.8,0.458,10.0,40.49,42.331,20.0,19.0,65.79,12.5,2.0,25.17,12.33,37.5,68.7,68.7,0.0,5.5,21.5,30.23,30.3,6.5,0.5,12.3,12.83
479,Texas,41,81,Louisville,38,80,1.45,17.4,19.6,4.8,0.572,14.8,50.51,39.655,17.4,20.4,69.61,14.2,2.0,27.0,9.8,36.8,68.0,81.2,13.0,7.4,20.6,37.86,26.6,7.8,0.8,12.0,12.8,0.73,9.6,23.2,3.0,0.458,4.4,41.53,43.322,19.2,26.6,72.18,19.2,4.0,26.8,14.4,41.2,74.0,74.4,0.0,5.6,17.6,29.55,31.0,5.2,-1.6,13.2,11.6
480,Washington St.,39,78,Rhode Island,32,57,1.33,14.0,23.25,7.0,0.544,9.5,50.0,38.767,20.0,21.2,61.18,13.0,7.0,27.5,11.25,38.75,64.2,77.2,13.0,6.8,18.2,28.77,23.0,5.2,0.5,10.5,11.0,1.03,14.0,20.2,2.8,0.535,10.8,48.54,41.121,16.2,22.4,60.71,13.6,3.0,26.6,11.2,37.8,70.6,72.2,1.0,5.8,15.8,34.18,32.2,5.4,-4.4,13.6,9.2
481,Western Mich.,21,56,Ohio St.,41,73,0.76,11.2,21.25,1.8,0.481,3.75,40.77,43.697,18.0,16.5,56.06,9.2,1.0,24.5,14.5,39.0,73.2,65.2,-8.0,4.8,24.5,34.69,34.0,8.5,-3.0,14.8,11.75,1.38,14.5,23.75,5.2,0.511,8.25,44.87,39.831,15.0,20.2,67.9,13.8,5.0,27.0,12.5,39.5,63.5,73.5,10.0,6.2,20.5,35.37,31.7,7.2,0.8,10.5,11.25
482,American,34,83,Georgetown,35,88,1.31,15.2,30.4,1.8,0.51,9.6,43.52,50.37,18.8,16.2,74.07,12.0,1.0,22.6,10.8,33.4,76.8,73.4,-3.0,7.2,27.6,32.61,34.5,9.0,0.6,11.6,12.2,0.99,14.4,12.6,2.8,0.541,12.4,46.28,42.574,16.2,21.4,67.29,14.4,6.0,27.4,12.6,40.0,70.2,78.4,8.0,6.2,26.2,35.11,28.2,9.2,-3.2,14.6,11.4
483,Ga. Southern,48,92,Kennesaw St.,50,96,0.58,8.5,34.5,2.7,0.486,8.17,40.0,50.0,21.7,18.3,76.36,14.0,-5.0,20.33,11.17,31.5,84.8,70.7,-14.0,6.2,29.8,33.52,43.3,10.0,-1.0,14.7,13.67,1.32,17.0,26.5,4.7,0.487,23.0,42.24,37.75,19.8,21.8,70.99,15.5,5.0,31.17,16.0,47.17,74.8,86.7,11.0,9.2,32.3,29.38,25.7,9.5,3.0,12.8,15.83
484,Marshall,26,60,Utah St.,39,83,1.16,14.6,14.4,5.6,0.451,10.2,40.43,42.508,17.0,19.0,73.68,14.0,-1.0,27.6,13.0,40.6,73.8,72.4,-1.0,7.2,24.4,24.59,28.6,6.0,1.8,12.6,14.4,1.55,19.2,21.83,5.0,0.567,13.17,51.96,38.462,18.0,20.3,66.39,13.5,8.0,29.83,10.17,40.0,62.5,81.2,18.0,7.2,17.3,32.69,22.2,5.7,0.8,12.3,13.17
