,Home,1h,Th,Away,1w,Tw,home_ATRatio,home_Apg,home_BPpg,home_Bpg,home_EFG%,home_FbP,home_Fg%,home_Fg%D,home_Fpg,home_FTApg,home_FTp,home_FTMpg,home_RM,RDpg_x,home_ROpg,home_Rpg,home_SD,home_SO,home_SM,home_Spg,home_3PApg,home_3P%,home_3PD%,home_3Ppg,home_TOM,home_Tpg,home_TFpg,away_ATRatio,away_Apg,away_BPpg,away_Bpg,away_EFG%,away_FbP,away_Fg%,away_Fg%D,away_Fpg,away_FTApg,away_FTp,away_FTMpg,away_RM,RDpg_y,away_ROpg,away_Rpg,away_SD,away_SO,away_SM,away_Spg,away_3PApg,away_3P%,away_3PD%,away_3Ppg,away_TOM,away_Tpg,away_TFpg
0,Georgia,30,71,Oregon,40,82,0.87,10.6,20.6,2.4,0.445,11.4,38.44,41.234,18.2,21.4,69.16,14.8,-7.0,25.8,10.0,35.8,72.6,69.4,-3.0,7.0,25.2,29.37,31.0,7.4,1.6,12.2,13.8,1.61,13.2,25.25,3.2,0.512,11.25,45.31,39.565,15.5,27.8,58.56,16.2,11.0,32.0,12.5,44.5,63.2,79.0,15.0,7.8,19.0,38.16,28.8,7.2,3.5,8.2,11.75
1,Northern Ariz.,30,52,UConn,47,95,0.9,13.8,18.5,3.7,0.463,9.17,41.67,46.765,21.2,15.8,55.79,8.8,-9.0,23.0,7.67,30.67,76.7,62.5,-14.0,7.3,20.7,25.81,24.8,5.3,-0.3,15.3,15.0,1.81,19.2,18.6,6.2,0.584,11.6,51.34,38.38,16.8,26.6,74.44,19.8,16.0,29.0,14.4,43.4,60.0,89.4,29.0,6.6,26.0,32.31,26.9,8.4,2.2,10.6,12.8
2,Samford,17,45,Purdue,51,98,1.11,15.0,30.0,4.2,0.434,17.25,37.97,43.172,20.0,22.0,72.73,16.0,-4.0,23.25,15.0,38.25,74.2,73.8,0.0,13.0,27.0,26.85,37.5,7.2,6.0,13.5,19.5,1.37,17.2,23.8,5.6,0.554,11.2,48.61,35.061,14.2,26.2,70.99,18.6,9.0,31.8,9.8,41.6,60.6,82.4,21.0,7.0,19.8,39.39,22.1,7.8,-0.8,12.6,11.8
3,Tennessee Tech,12,42,Tennessee,41,80,0.95,10.6,20.2,2.8,0.483,6.8,43.39,47.195,16.6,13.0,60.0,7.8,-5.0,25.4,7.0,32.4,78.4,64.8,-13.0,3.4,19.8,29.29,34.7,5.8,-1.8,11.2,9.4,1.31,14.2,25.8,5.0,0.5,9.0,43.05,35.54,19.4,22.6,76.99,17.4,4.0,28.2,10.4,38.6,60.0,76.4,16.0,7.2,23.6,34.75,25.9,8.2,3.2,10.8,14.0
4,Brown,31,70,Colgate,31,72,1.13,13.8,19.6,5.6,0.469,11.2,40.5,42.014,18.4,23.0,60.87,14.0,5.0,29.0,14.6,43.6,72.6,74.2,1.0,8.6,26.8,30.6,38.2,8.2,2.2,12.2,14.4,1.05,13.2,15.6,1.8,0.489,6.6,42.44,38.796,13.6,13.2,72.73,9.6,3.0,29.8,7.8,37.6,64.8,62.6,-2.0,5.0,22.2,31.53,30.8,7.0,-3.8,12.6,8.8
5,Central Conn. St.,31,70,Rhode Island,47,81,1.52,16.0,22.25,5.5,0.508,12.25,46.67,43.612,15.5,16.0,67.19,10.8,0.0,26.75,9.25,36.0,66.0,75.5,9.0,8.8,20.5,25.61,32.9,5.2,6.0,10.5,16.5,1.03,14.0,20.2,2.8,0.535,10.8,48.54,41.121,16.2,22.4,60.71,13.6,3.0,26.6,11.2,37.8,70.6,72.2,1.0,5.8,15.8,34.18,32.2,5.4,-4.4,13.6,9.2
6,Chicago St.,21,41,Bowling Green,32,70,0.59,8.0,9.33,2.8,0.435,14.33,38.99,46.269,18.7,20.5,68.29,14.0,-6.0,22.0,10.83,32.83,71.0,62.7,-8.0,9.0,18.8,26.55,27.0,5.0,1.8,13.5,15.33,1.02,11.5,22.5,3.5,0.494,6.75,43.7,45.133,17.8,19.5,57.69,11.2,2.0,26.0,10.25,36.25,70.5,70.0,0.0,5.0,24.5,27.55,39.7,6.8,1.2,11.2,12.5
7,The Citadel,27,59,NC State,36,72,0.91,10.5,14.83,2.5,0.47,9.0,40.77,45.322,13.8,19.2,73.04,14.0,3.0,26.0,10.33,36.33,66.5,66.7,0.0,5.7,23.2,30.22,31.9,7.0,-0.8,11.5,10.67,1.96,15.0,20.33,3.7,0.529,18.33,47.37,37.975,18.0,18.0,77.78,14.0,2.0,25.67,11.67,37.33,58.7,81.0,22.0,8.0,22.3,31.34,28.8,7.0,8.0,7.7,15.67
8,Cleveland St.,41,77,Duquesne,38,79,1.09,12.0,24.4,6.0,0.505,18.8,45.13,41.754,18.8,24.8,66.94,16.6,0.0,24.2,14.0,38.2,65.6,78.8,13.0,10.4,18.6,35.48,29.9,6.6,5.0,11.0,16.0,1.25,15.0,22.6,6.2,0.548,13.4,46.2,39.803,18.4,19.0,69.47,13.2,3.0,27.8,11.8,39.6,68.0,79.6,11.0,7.2,28.2,36.88,35.1,10.4,1.0,12.0,13.0
9,Columbia,27,59,Providence,42,78,1.35,17.3,31.0,2.3,0.524,17.83,46.07,39.167,16.3,22.3,79.85,17.8,2.0,27.17,9.33,36.5,65.3,80.0,14.0,11.0,22.5,33.33,26.8,7.5,4.0,12.8,16.83,0.79,12.4,14.4,7.0,0.507,9.4,44.48,35.032,16.6,22.0,69.09,15.2,5.0,28.4,12.0,40.4,64.8,74.0,9.0,6.8,24.0,30.0,26.9,7.2,-1.4,15.6,14.2
10,Delaware,44,78,Bucknell,25,57,1.45,16.0,23.0,3.8,0.602,7.5,52.65,38.43,15.2,20.0,62.5,12.5,5.0,28.5,8.75,37.25,62.2,80.5,18.0,5.8,18.8,45.33,27.8,8.5,-0.2,11.0,10.75,0.8,11.0,15.17,3.7,0.476,3.33,40.38,45.087,18.8,18.8,69.03,13.0,-6.0,24.17,6.83,31.0,72.8,62.5,-10.0,6.8,23.5,31.91,34.4,7.5,-1.8,13.8,12.0
11,Delaware St.,18,45,Penn St.,39,79,0.66,10.6,21.4,1.2,0.399,11.4,37.29,48.872,18.6,22.0,65.45,14.4,0.0,20.2,13.8,34.0,77.4,62.8,-14.0,10.4,13.6,23.53,40.4,3.2,1.4,16.0,17.4,0.85,11.0,27.5,5.0,0.482,12.75,41.77,34.632,16.0,23.5,74.47,17.5,-1.0,27.25,12.0,39.25,53.5,77.5,24.0,10.8,27.0,29.63,19.7,8.0,8.5,13.0,21.5
12,Hampton,36,80,Howard,40,92,0.88,13.8,24.5,1.3,0.534,14.5,46.42,42.936,19.7,20.7,72.58,15.0,0.0,24.5,10.33,34.83,78.2,77.2,-1.0,7.3,24.7,33.11,30.6,8.2,-2.7,15.7,13.0,0.66,10.5,24.5,3.2,0.496,14.83,43.02,46.809,18.7,25.2,72.85,18.3,2.0,27.0,10.33,37.33,80.0,75.2,-4.0,5.7,21.2,35.43,33.3,7.5,-5.2,16.0,10.83
13,Holy Cross,28,71,Siena,38,73,1.07,12.0,15.5,2.0,0.526,4.5,45.8,47.076,16.7,12.5,62.67,7.8,-1.0,22.83,9.83,32.67,76.2,68.3,-7.0,4.5,22.8,34.31,41.4,7.8,-2.3,11.2,8.83,0.64,11.4,10.2,5.6,0.49,2.2,43.85,49.648,15.0,14.2,54.93,7.8,4.0,22.0,12.2,34.2,74.0,58.8,-15.0,3.6,18.4,29.35,41.7,5.4,-7.8,17.8,10.0
14,Iona,39,69,Col. of Charleston,46,71,1.09,12.5,23.25,3.5,0.496,6.75,42.8,46.46,20.2,17.8,64.79,11.5,-2.0,23.5,12.25,35.75,78.5,75.2,-3.0,8.5,25.8,33.98,35.9,8.8,2.0,11.5,13.5,0.97,12.8,27.6,3.0,0.435,8.2,37.34,43.813,17.4,19.8,72.73,14.4,1.0,25.6,14.4,40.0,74.2,69.4,-4.0,6.8,32.0,24.38,34.5,7.8,0.4,13.2,13.6
15,Lafayette,35,60,Saint Joseph's,38,81,0.9,13.0,21.25,4.5,0.441,6.0,37.73,43.723,15.8,15.8,60.32,9.5,-3.0,23.0,9.75,32.75,69.5,58.0,-11.0,8.5,24.8,28.28,35.3,7.0,-2.5,14.5,12.0,1.57,18.2,23.6,3.4,0.514,12.0,43.03,38.0,17.4,15.2,69.74,10.6,4.0,29.4,11.8,41.2,66.0,78.4,12.0,6.6,32.4,33.95,32.1,11.0,2.0,11.6,13.6
16,Longwood,30,69,St. Bonaventure,35,73,1.22,11.2,22.0,3.0,0.462,11.25,42.91,40.541,16.5,25.2,75.25,19.0,18.0,25.5,18.75,44.25,60.8,79.2,18.0,5.0,19.2,22.08,30.2,4.2,2.8,9.2,12.0,0.92,11.2,13.0,3.2,0.471,7.0,41.78,45.205,16.8,17.5,77.14,13.5,-2.0,21.0,11.0,32.0,70.0,66.5,-3.0,6.2,23.5,25.53,34.1,6.0,2.5,12.2,14.75
17,Maine,27,52,Charlotte,34,69,1.33,13.5,28.33,3.0,0.535,10.5,48.4,44.164,17.0,17.2,74.76,12.8,1.0,24.83,7.67,32.5,66.2,74.0,7.0,9.8,19.5,29.91,32.7,5.8,4.3,10.2,14.5,1.12,12.6,11.0,3.6,0.485,5.0,43.94,38.267,15.6,15.4,76.62,11.8,0.0,27.2,6.8,34.0,58.2,63.0,4.0,6.0,15.8,30.38,28.2,4.8,0.2,11.2,11.4
18,McNeese,41,76,VCU,29,65,1.64,14.5,22.67,1.8,0.58,10.33,52.24,39.252,13.3,15.7,59.57,9.3,8.0,25.33,13.17,38.5,56.5,82.7,26.0,12.5,17.3,42.31,28.7,7.3,8.3,8.8,17.17,0.92,13.5,24.5,5.2,0.51,12.5,44.33,36.752,16.0,21.8,75.86,16.5,2.0,27.5,9.25,36.75,61.8,68.2,6.0,7.5,24.0,28.12,30.6,6.8,-2.5,14.8,12.25
19,Monmouth,23,61,George Mason,29,72,0.88,11.5,17.5,4.0,0.491,18.0,41.38,40.496,20.2,17.8,71.83,12.8,-4.0,24.0,10.25,34.25,74.5,69.8,-4.0,6.2,21.5,41.86,32.7,9.0,-0.8,13.0,12.25,0.89,11.2,17.8,3.6,0.509,6.6,43.54,38.966,15.8,20.0,75.0,15.0,7.0,28.4,11.2,39.6,62.8,70.2,7.0,5.2,22.2,36.04,35.2,8.0,-2.0,12.6,10.6
20,Missouri St.,30,59,West Virginia,24,67,1.07,14.4,19.4,4.4,0.529,6.8,45.0,37.975,16.6,18.2,65.93,12.0,5.0,30.8,9.0,39.8,63.6,71.2,7.0,4.8,23.6,37.29,25.2,8.8,-3.6,13.4,9.8,1.18,13.0,6.5,4.5,0.434,10.0,37.55,40.664,12.5,22.2,68.54,15.2,4.0,26.75,12.5,39.25,64.8,65.0,0.0,4.0,22.0,30.68,36.6,6.8,-2.0,11.0,9.0
21,North Dakota St.,28,80,Western Mich.,38,76,1.2,12.0,28.83,1.5,0.527,7.17,46.09,44.974,13.0,17.5,70.48,12.3,2.0,26.5,11.83,38.33,73.3,77.5,4.0,5.8,21.3,38.28,39.2,8.2,0.8,10.0,10.83,0.76,11.2,21.25,1.8,0.481,3.75,40.77,43.697,18.0,16.5,56.06,9.2,1.0,24.5,14.5,39.0,73.2,65.2,-8.0,4.8,24.5,34.69,34.0,8.5,-3.0,14.8,11.75
22,New Hampshire,32,72,Syracuse,44,83,1.44,15.0,24.8,2.0,0.503,16.0,43.2,37.582,17.2,20.6,74.76,15.4,0.0,30.8,10.2,41.0,67.0,82.0,15.0,9.8,28.8,32.64,23.4,9.4,4.0,10.4,14.4,1.02,11.4,15.2,5.0,0.461,14.0,41.49,43.987,15.2,18.6,70.97,13.2,-8.0,25.2,10.2,35.4,74.6,72.8,-1.0,9.6,23.2,25.86,35.1,6.0,5.0,11.2,16.2
23,NJIT,32,60,Miami (FL),52,101,0.72,10.2,16.25,1.2,0.464,5.25,40.45,44.048,22.2,21.0,69.05,14.5,-15.0,21.0,8.25,29.25,83.8,65.5,-18.0,6.5,21.5,30.23,36.4,6.5,-3.0,14.2,11.25,1.29,16.0,10.8,5.2,0.615,17.2,52.36,41.298,15.0,19.6,82.65,16.2,0.0,28.2,7.8,36.0,72.6,89.0,16.0,8.6,23.6,45.76,26.8,10.8,2.0,12.4,14.4
24,Oakland,35,73,Ohio St.,34,79,0.97,11.0,13.5,1.3,0.507,8.17,43.8,42.978,18.2,15.8,71.58,11.3,-1.0,25.5,9.5,35.0,71.7,72.7,1.0,7.2,23.8,34.97,28.0,8.3,0.2,11.3,11.5,1.38,14.5,23.75,5.2,0.511,8.25,44.87,39.831,15.0,20.2,67.9,13.8,5.0,27.0,12.5,39.5,63.5,73.5,10.0,6.2,20.5,35.37,31.7,7.2,0.8,10.5,11.25
25,Radford,41,70,North Carolina,46,86,0.72,10.3,16.17,3.0,0.514,5.0,45.35,39.835,17.7,14.8,67.42,10.0,3.0,27.83,11.33,39.17,69.3,70.8,1.0,6.8,19.7,36.44,26.3,7.2,-4.2,14.3,10.17,1.43,14.3,25.33,5.3,0.529,12.0,48.15,36.683,10.7,24.0,73.61,17.7,7.0,29.67,12.33,42.0,63.3,84.3,21.0,7.3,19.3,31.03,32.1,6.0,3.3,10.0,13.33
26,SIUE,24,47,Dayton,27,63,1.19,11.5,12.67,4.3,0.482,5.0,41.67,42.025,16.0,17.7,71.7,12.7,0.0,23.33,10.17,33.5,68.2,66.7,-1.0,5.0,19.0,38.6,35.1,7.3,-0.3,9.7,9.33,1.22,14.4,18.8,2.4,0.53,4.0,45.12,44.765,14.2,20.6,78.64,16.2,-2.0,21.6,8.2,29.8,67.0,68.4,1.0,5.8,23.0,33.91,40.0,7.8,-0.6,11.8,11.2
27,UMBC,48,93,Louisville,40,94,0.9,12.8,32.5,3.5,0.515,12.5,45.91,43.401,17.5,18.7,60.71,11.3,0.0,28.33,12.17,40.5,79.2,80.5,1.0,5.3,20.2,37.19,30.8,7.5,0.2,14.3,14.5,0.73,9.6,23.2,3.0,0.458,4.4,41.53,43.322,19.2,26.6,72.18,19.2,4.0,26.8,14.4,41.2,74.0,74.4,0.0,5.6,17.6,29.55,31.0,5.2,-1.6,13.2,11.6
28,USC Upstate,28,53,South Carolina,42,82,1.31,14.0,21.0,3.0,0.506,14.17,43.98,44.411,18.0,14.8,66.29,9.8,-9.0,22.17,7.83,30.0,71.2,70.0,-1.0,9.5,21.3,36.72,31.1,7.8,4.8,10.7,15.5,1.25,15.2,21.0,2.6,0.555,6.4,48.23,41.516,19.0,20.4,68.63,14.0,6.0,25.6,10.4,36.0,66.0,76.6,10.0,5.6,20.8,39.42,28.9,8.2,-0.6,12.2,11.6
29,VMI,36,75,Richmond,55,93,0.75,11.2,29.8,2.8,0.516,12.8,46.5,41.049,18.6,16.4,63.41,10.4,4.0,30.2,11.0,41.2,76.6,75.2,-1.0,4.4,20.0,32.0,31.6,6.4,-4.0,15.0,11.0,1.74,14.6,22.6,4.0,0.569,6.8,49.65,40.636,14.2,16.0,71.25,11.4,-3.0,24.8,6.8,31.6,64.0,77.0,13.0,8.4,21.6,38.89,31.5,8.4,5.0,8.4,13.4
30,Winthrop,24,56,Clemson,33,78,0.81,10.0,28.33,2.5,0.548,7.0,48.23,39.077,16.2,29.0,72.41,21.0,2.0,24.0,10.0,34.0,63.0,77.8,14.0,7.7,19.0,35.96,27.2,6.8,2.0,12.3,14.33,1.64,17.2,24.25,6.2,0.555,6.5,47.23,40.179,16.8,15.8,74.6,11.8,1.0,25.25,8.75,34.0,66.2,77.0,10.0,4.2,24.2,40.21,34.1,9.8,1.5,10.5,12.0
31,American,31,63,Villanova,41,90,1.31,15.2,30.4,1.8,0.51,9.6,43.52,50.37,18.8,16.2,74.07,12.0,1.0,22.6,10.8,33.4,76.8,73.4,-3.0,7.2,27.6,32.61,34.5,9.0,0.6,11.6,12.2,1.26,12.2,21.5,2.0,0.545,10.5,45.25,35.78,18.0,18.2,83.56,15.2,7.0,28.25,10.5,38.75,59.0,75.5,16.0,6.0,29.0,35.34,30.6,10.2,1.2,9.8,11.0
32,Cornell,39,84,Lehigh,44,78,1.19,18.0,41.83,2.3,0.594,14.0,50.97,45.405,18.2,20.8,68.0,14.2,5.0,27.5,10.0,37.5,76.3,85.7,9.0,8.3,27.3,37.2,29.6,10.2,-0.7,15.2,14.5,1.01,14.4,22.4,2.6,0.494,11.8,43.37,44.805,21.2,14.4,72.22,10.4,0.0,27.2,11.2,38.4,80.2,76.0,-4.0,8.2,24.6,32.52,36.4,8.0,-0.4,14.2,13.8
33,FDU,54,92,Buffalo,44,86,1.49,18.8,34.4,2.2,0.56,19.0,47.09,40.181,17.6,23.6,70.34,16.6,-2.0,29.6,10.2,39.8,74.0,89.8,15.0,10.4,31.4,36.94,31.9,11.6,4.0,12.6,16.6,0.72,13.0,16.2,3.0,0.484,10.2,42.4,50.831,17.6,24.0,70.83,17.0,6.0,25.4,13.2,38.6,83.0,71.8,-11.0,6.6,22.8,29.82,38.5,6.8,-6.2,18.0,11.8
34,Georgia St.,45,87,Belmont,47,89,1.44,12.2,32.5,1.8,0.468,8.5,41.95,44.978,23.0,22.8,72.53,16.5,0.0,24.5,14.5,39.0,76.5,79.0,2.0,6.2,21.5,30.23,29.3,6.5,3.2,8.5,11.75,1.11,14.8,28.25,4.8,0.541,12.0,47.84,47.35,14.8,20.0,62.5,12.5,-9.0,26.5,7.75,34.25,86.2,81.5,-4.0,9.5,23.5,34.04,33.3,8.0,0.2,13.2,13.5
35,Lipscomb,31,59,Wichita St.,44,76,1.74,18.4,32.4,4.6,0.611,12.8,51.41,43.519,14.2,14.8,72.97,10.8,-5.0,26.2,6.8,33.0,76.2,88.8,12.0,7.6,30.0,41.33,33.0,12.4,3.2,10.6,13.8,0.9,11.0,20.83,5.0,0.518,6.83,46.89,36.298,14.2,19.2,71.3,13.7,10.0,34.67,11.67,46.33,69.0,80.3,11.0,4.8,19.7,32.2,27.6,6.3,-2.7,12.2,9.5
36,Manhattan,35,61,Bryant,33,59,0.89,12.5,18.5,2.5,0.461,8.5,40.91,41.825,14.8,15.5,72.58,11.2,-3.0,28.5,8.75,37.25,72.0,67.0,-5.0,7.5,21.0,29.76,37.6,6.2,-0.5,14.0,13.5,1.2,13.0,23.5,7.0,0.52,14.5,44.44,34.975,17.5,18.0,64.81,11.7,-3.0,32.5,8.33,40.83,69.0,77.2,8.0,6.5,25.5,37.25,28.7,9.5,0.2,10.8,11.0
37,Merrimack,20,55,Vermont,36,67,0.72,10.2,16.0,4.0,0.505,14.5,45.25,42.373,16.0,19.0,63.16,12.0,-4.0,22.5,11.25,33.75,70.0,67.8,-2.0,9.8,22.8,25.27,36.8,5.8,0.8,14.2,15.0,1.52,14.0,19.4,3.2,0.571,9.6,48.57,39.928,13.8,15.2,67.11,10.2,6.0,28.2,8.8,37.0,59.8,74.2,14.0,5.6,26.2,36.64,29.7,9.6,0.6,9.2,9.8
38,Saint Peter's,27,59,Seton Hall,26,70,0.75,10.2,30.25,2.8,0.449,7.75,39.11,43.333,22.0,19.0,82.89,15.8,9.0,22.25,14.5,36.75,64.5,66.2,1.0,7.8,20.0,32.5,36.8,6.5,0.2,13.8,14.0,1.09,14.5,23.75,2.8,0.566,10.5,51.77,35.47,14.5,21.8,77.01,16.8,11.0,29.5,11.5,41.0,59.0,80.8,21.0,9.8,17.5,31.43,24.8,5.5,1.0,13.2,14.25
39,Towson,24,57,Colorado,28,75,0.58,7.7,17.5,3.2,0.432,2.67,39.23,44.516,15.3,19.3,62.93,12.2,7.0,22.83,14.0,36.83,64.5,57.0,-7.0,4.8,14.2,29.41,37.4,4.2,-2.7,13.3,10.67,1.37,19.4,18.6,3.6,0.551,15.0,48.47,40.484,15.8,22.2,77.48,17.2,9.0,26.8,12.4,39.2,67.0,82.2,15.0,7.6,18.0,43.33,31.8,7.8,-0.6,14.2,13.6
40,Wagner,31,64,Fordham,23,68,1.25,11.2,28.0,2.8,0.416,8.5,36.08,44.545,17.2,13.8,70.91,9.8,-3.0,23.0,14.0,37.0,64.2,62.8,-1.0,7.0,24.8,28.28,28.9,7.0,4.5,9.0,13.5,0.57,10.0,24.2,3.4,0.451,10.4,38.99,41.176,21.8,28.4,59.86,17.0,0.0,23.4,14.0,37.4,68.8,67.0,-1.0,7.2,23.4,29.06,28.6,6.8,-0.6,17.4,16.8
41,Alcorn,22,59,Arkansas,46,93,0.81,10.0,27.33,1.5,0.433,14.17,39.73,48.688,20.5,25.2,65.56,16.5,-1.0,23.17,12.67,35.83,84.8,69.2,-15.0,9.2,15.3,28.26,38.4,4.3,0.8,12.3,13.17,1.26,13.2,33.75,7.8,0.559,14.25,49.12,41.129,19.0,30.5,67.21,20.5,4.0,30.0,8.75,38.75,70.5,84.2,13.0,5.2,22.5,34.44,36.2,7.8,1.0,10.5,11.5
42,Alabama St.,30,59,Ole Miss,35,69,1.13,12.8,31.75,4.5,0.438,19.5,37.37,40.856,22.0,20.8,75.9,15.8,3.0,30.0,18.0,48.0,77.5,79.0,1.0,9.5,26.2,35.24,30.4,9.2,1.8,11.2,13.0,1.78,16.5,14.25,5.8,0.477,12.25,43.04,39.565,14.0,21.0,69.05,14.5,-1.0,25.5,10.5,36.0,64.8,71.0,6.0,8.8,19.2,28.57,33.0,5.5,3.5,9.2,12.75
43,Ark.-Pine Bluff,40,79,Missouri,57,101,1.26,16.0,18.0,2.0,0.565,11.0,47.66,46.734,18.7,22.3,79.1,17.7,-4.0,25.83,8.5,34.33,85.2,90.0,4.0,9.3,27.7,40.96,29.3,11.3,2.8,12.7,15.5,1.27,15.2,25.4,7.0,0.534,13.4,45.21,40.0,18.6,13.8,78.26,10.8,-2.0,26.0,8.4,34.4,68.0,73.2,5.0,8.0,28.2,34.04,31.4,9.6,1.2,12.0,13.2
44,Arkansas St.,41,76,Wisconsin,56,105,1.2,16.5,24.0,3.8,0.537,9.25,45.91,52.991,22.8,19.0,64.47,12.2,0.0,22.75,11.75,34.5,90.0,81.2,-8.0,4.8,27.5,36.36,34.7,10.0,-4.8,13.8,9.0,1.08,11.4,22.4,1.8,0.51,4.4,46.21,45.276,17.2,22.6,71.68,16.2,4.0,22.2,11.6,33.8,67.4,75.4,8.0,6.2,17.4,32.18,34.3,5.6,4.2,10.6,14.8
45,Bethune-Cookman,22,60,Minnesota,46,80,1.37,16.8,27.0,3.8,0.51,27.5,45.42,39.091,19.2,19.5,70.51,13.8,9.0,26.25,17.75,44.0,65.5,89.0,23.0,17.2,27.0,30.56,32.3,8.2,11.5,12.2,23.75,1.34,18.8,27.0,6.0,0.537,14.4,46.15,37.654,16.0,24.6,78.05,19.2,10.0,31.6,12.0,43.6,65.2,80.6,15.0,6.0,25.6,33.59,32.7,8.6,-3.0,14.0,11.0
46,Binghamton,39,61,Northwestern,36,72,1.16,14.7,29.83,5.0,0.516,9.17,46.02,40.11,18.2,20.5,66.67,13.7,4.0,28.33,10.67,39.0,69.3,74.2,4.0,5.0,21.0,30.95,30.4,6.5,-2.3,12.7,10.33,1.41,13.0,9.0,4.8,0.483,7.6,43.01,44.033,16.6,15.0,78.67,11.8,-2.0,19.4,10.8,30.2,62.6,67.0,4.0,9.4,20.6,29.13,38.1,6.0,6.8,9.2,16.0
47,Bradley,40,73,UAB,24,71,1.16,16.7,19.67,5.0,0.578,15.67,48.55,35.0,17.7,17.3,59.62,10.3,-3.0,31.67,6.33,38.0,66.7,77.0,10.0,6.7,27.3,39.02,21.9,10.7,-3.0,14.3,11.33,0.72,9.4,26.4,5.2,0.451,14.8,41.61,41.914,17.0,23.2,70.69,16.4,5.0,27.8,13.0,40.8,69.4,70.2,0.0,8.0,16.0,26.25,27.4,4.2,-0.6,13.0,12.4
48,Boston U.,34,58,Northeastern,31,67,0.9,10.8,24.0,1.4,0.439,6.8,37.15,43.321,18.6,12.8,67.19,8.6,-4.0,25.8,7.8,33.6,69.6,59.2,-10.0,7.8,24.6,31.71,30.7,7.8,-0.4,12.0,11.6,1.0,13.8,21.67,3.7,0.543,8.0,47.85,46.685,13.7,21.8,71.76,15.7,3.0,23.5,11.0,34.5,75.0,74.7,0.0,6.5,19.7,35.59,35.8,7.0,-2.7,13.8,11.17
49,Central Ark.,27,53,Tulsa,33,70,1.05,13.8,27.4,3.0,0.479,8.2,42.16,40.283,18.6,19.8,64.65,12.8,2.0,27.0,12.4,39.4,67.8,71.4,3.0,8.0,21.8,32.11,30.3,7.0,2.0,13.2,15.2,0.89,13.5,20.0,4.2,0.467,18.5,40.66,34.496,18.2,30.8,74.8,23.0,7.0,32.0,14.75,46.75,61.5,79.2,17.0,9.5,24.5,29.59,26.2,7.2,0.2,15.2,15.5
50,Central Mich.,21,59,Oklahoma,40,89,0.7,10.7,16.83,3.2,0.489,9.5,43.24,48.048,17.2,15.5,67.74,10.5,-2.0,20.5,10.5,31.0,74.5,64.8,-9.0,7.0,20.8,30.4,35.1,6.3,-1.2,15.2,14.0,1.12,14.0,37.5,5.5,0.577,15.0,51.05,35.043,15.2,24.5,79.59,19.5,14.0,30.0,13.5,43.5,55.5,88.5,33.0,7.5,23.8,33.68,23.1,8.0,2.5,12.5,15.0
51,Eastern Ill.,25,52,Illinois,37,80,0.84,10.7,24.33,2.7,0.438,8.5,39.13,44.625,18.5,13.5,72.84,9.8,2.0,23.33,13.33,36.67,67.5,63.5,-4.0,6.7,17.2,33.01,33.3,5.7,0.8,12.7,13.5,1.06,14.0,27.4,4.2,0.529,9.6,46.62,35.061,12.8,18.6,58.06,10.8,11.0,35.0,12.2,47.2,60.0,76.6,16.0,4.2,26.0,30.0,26.4,7.8,-4.0,13.2,9.2
52,Elon,55,78,Wake Forest,43,101,1.14,13.8,29.0,2.3,0.554,8.83,46.49,47.696,16.8,20.2,70.25,14.2,0.0,23.5,9.5,33.0,80.2,77.3,-2.0,4.8,24.5,41.5,32.8,10.2,-2.5,12.2,9.67,1.04,11.6,5.8,5.4,0.551,8.0,47.68,44.201,15.6,16.4,80.49,13.2,-3.0,25.2,8.8,34.0,76.4,79.8,3.0,5.2,25.0,36.0,35.5,9.0,-1.2,11.2,10.0
53,Eastern Mich.,26,55,Butler,34,94,0.79,11.2,23.0,1.2,0.513,2.6,45.8,48.026,15.8,17.2,67.44,11.6,-2.0,23.2,8.2,31.4,77.6,65.4,-12.0,4.0,18.0,32.22,31.4,5.8,-4.8,14.2,9.4,1.29,14.5,26.0,4.5,0.523,12.75,45.45,34.694,14.8,22.0,76.14,16.8,2.0,30.25,9.25,39.5,58.0,80.0,22.0,7.2,25.8,32.04,27.0,8.2,4.2,11.2,15.5
54,Fairfield,34,70,Boston College,46,89,1.0,13.4,12.0,3.2,0.486,9.8,40.58,44.371,16.0,12.6,76.19,9.6,-3.0,25.4,10.4,35.8,72.2,70.4,-1.0,7.4,29.2,34.25,33.6,10.0,0.8,13.4,14.2,1.24,13.0,14.75,5.8,0.498,7.25,44.4,41.224,13.8,14.8,79.66,11.8,8.0,28.5,13.5,42.0,66.5,76.2,9.0,7.2,21.0,33.33,35.5,7.0,1.5,10.5,12.0
55,FIU,21,62,UCF,43,85,0.84,14.4,22.29,2.9,0.485,12.43,42.25,50.396,19.3,16.6,66.38,11.0,-7.0,17.86,12.14,30.0,77.9,70.0,-7.0,12.9,25.6,29.61,34.9,7.6,3.0,17.1,20.14,0.88,11.4,29.6,6.2,0.497,8.8,44.51,39.777,19.4,20.0,69.0,13.8,4.0,27.0,12.0,39.0,69.0,77.2,8.0,10.0,21.8,30.28,33.0,6.6,3.6,13.0,16.6
