Team,ATRatio,Apg,BPpg,Bpg,EFG%,FbP,Fg%,Fg%D,Fpg,FTApg,FTp,FTMpg,RM,RDpg,ROpg,Rpg,SD,SO,SM,Spg,3PApg,3P%,3PD%,3Ppg,TOM,Tpg,TFpg
Massachusetts,2.38,19.0,30.33,3.3,0.513,12.67,45.09,41.243,20.0,23.7,54.93,13.0,1.0,25.33,16.67,42.0,76.7,89.7,13.0,10.3,26.0,35.9,37.1,9.3,8.3,8.0,16.33
Iowa,3.11,21.0,26.5,4.8,0.544,19.5,49.08,41.985,17.0,28.8,72.17,20.8,-1.0,28.0,12.25,40.25,75.2,95.0,19.0,9.0,19.8,36.71,30.0,7.2,9.5,6.8,16.25
Iowa St.,2.17,19.0,33.0,4.0,0.589,15.5,53.63,31.522,16.2,25.0,73.0,18.2,13.0,27.5,12.25,39.75,45.8,91.2,45.0,15.0,16.5,39.39,29.5,6.5,12.0,8.8,20.75
Kentucky,2.32,18.6,26.0,4.6,0.571,20.0,48.35,40.323,12.2,18.8,72.34,13.6,2.0,29.6,9.2,38.8,70.2,89.6,19.0,10.0,29.4,39.46,32.6,11.6,6.8,8.0,14.8
Purdue Fort Wayne,1.69,15.2,25.6,2.8,0.582,21.8,50.58,42.254,16.8,19.4,72.16,14.0,1.0,27.2,9.2,36.4,64.0,93.6,29.0,12.2,26.4,39.39,26.6,10.4,12.2,9.0,21.2
Eastern Ky.,1.62,20.2,38.5,7.5,0.521,24.75,46.01,41.219,15.5,23.5,56.38,13.2,12.0,31.5,20.25,51.75,75.8,94.8,19.0,8.5,30.5,31.15,34.7,9.5,4.5,12.5,17.0
Virginia Tech,2.24,19.0,27.25,3.0,0.565,10.25,49.13,41.284,14.8,23.0,81.52,18.8,4.0,24.5,9.5,34.0,63.5,83.8,20.0,7.2,23.0,36.96,37.5,8.5,6.5,8.5,15.0
BYU,2.36,23.0,42.75,3.2,0.581,22.0,49.1,37.975,17.2,18.2,82.19,15.0,19.0,33.0,15.5,48.5,56.5,95.5,39.0,7.0,33.8,37.04,19.7,12.5,4.5,9.8,14.25
UTEP,1.62,21.4,38.8,3.4,0.596,23.0,54.49,41.463,21.6,32.2,65.84,21.2,4.0,26.4,11.8,38.2,70.8,95.6,24.0,13.6,18.4,34.78,30.1,6.4,7.4,13.2,20.6
Virginia,1.83,15.0,23.8,7.0,0.516,5.8,45.31,35.036,13.8,21.4,67.29,14.4,-2.0,24.8,8.6,33.4,53.8,67.2,13.0,9.8,16.6,38.55,28.2,6.4,6.2,8.2,14.4
Richmond,1.74,14.6,22.6,4.0,0.569,6.8,49.65,40.636,14.2,16.0,71.25,11.4,-3.0,24.8,6.8,31.6,64.0,77.0,13.0,8.4,21.6,38.89,31.5,8.4,5.0,8.4,13.4
Rice,1.66,17.0,32.0,3.2,0.52,4.25,44.92,49.784,15.0,20.5,76.83,15.8,3.0,24.25,12.5,36.75,82.2,82.2,0.0,6.5,24.8,36.36,39.4,9.0,1.5,10.2,11.75
Southern Ill.,1.28,14.8,22.25,2.8,0.565,10.0,48.65,44.292,20.0,25.2,74.26,18.8,5.0,26.0,9.75,35.75,65.5,81.5,16.0,7.0,23.5,37.23,28.8,8.8,2.2,11.5,13.75
UC Riverside,1.73,14.2,26.0,1.4,0.421,9.0,35.09,46.975,17.2,14.4,68.06,9.8,-3.0,22.4,12.8,35.2,74.4,64.0,-10.0,5.6,30.0,30.0,41.9,9.0,4.4,8.2,12.6
Kansas,1.79,25.4,21.6,4.0,0.617,16.4,55.07,36.086,15.0,17.8,71.91,12.8,8.0,32.4,8.0,40.4,66.0,85.8,19.0,6.8,20.6,37.86,26.6,7.8,-2.2,14.2,12.0
Ole Miss,1.78,16.5,14.25,5.8,0.477,12.25,43.04,39.565,14.0,21.0,69.05,14.5,-1.0,25.5,10.5,36.0,64.8,71.0,6.0,8.8,19.2,28.57,33.0,5.5,3.5,9.2,12.75
Stanford,2.05,19.5,21.0,4.2,0.562,6.25,49.25,43.609,16.0,16.5,75.76,12.5,-1.0,27.75,8.75,36.5,77.8,87.8,10.0,6.5,24.0,38.54,38.7,9.2,3.5,9.5,13.0
Fla. Atlantic,1.5,16.0,24.0,3.3,0.519,14.67,44.86,39.881,17.0,17.7,66.04,11.7,5.0,28.67,11.0,39.67,60.0,75.7,15.0,8.0,26.0,33.33,26.2,8.7,3.7,10.7,14.33
McNeese,1.64,14.5,22.67,1.8,0.58,10.33,52.24,39.252,13.3,15.7,59.57,9.3,8.0,25.33,13.17,38.5,56.5,82.7,26.0,12.5,17.3,42.31,28.7,7.3,8.3,8.8,17.17
Purdue,1.37,17.2,23.8,5.6,0.554,11.2,48.61,35.061,14.2,26.2,70.99,18.6,9.0,31.8,9.8,41.6,60.6,82.4,21.0,7.0,19.8,39.39,22.1,7.8,-0.8,12.6,11.8
