Team,ATRatio,Apg,BPpg,Bpg,EFG%,FbP,Fg%,Fg%D,Fpg,FTApg,FTp,FTMpg,RM,RDpg,ROpg,Rpg,SD,SO,SM,Spg,3PApg,3P%,3PD%,3Ppg,TOM,Tpg,TFpg
Villanova,1.16,11.3,21.0,1.9,0.52,7.43,43.5,37.596,18.7,22.7,83.65,19.0,5.0,28.43,10.57,39.0,64.1,78.4,14.0,5.6,28.1,34.52,32.8,9.7,2.1,9.7,11.86
Indiana St.,1.58,18.7,19.33,1.8,0.638,13.33,53.96,46.631,18.5,23.8,69.93,16.7,-3.0,24.83,6.17,31.0,77.2,89.2,12.0,8.0,27.0,41.36,35.5,11.2,3.3,11.8,15.17
Vermont,1.64,15.4,24.0,3.0,0.597,10.0,50.25,40.561,13.9,14.4,64.36,9.3,5.0,27.43,9.0,36.43,62.1,78.1,16.0,6.0,27.9,38.97,32.1,10.9,0.7,9.4,10.14
Colorado,1.37,19.4,18.6,3.6,0.551,15.0,48.47,40.484,15.8,22.2,77.48,17.2,9.0,26.8,12.4,39.2,67.0,82.2,15.0,7.6,18.0,43.33,31.8,7.8,-0.6,14.2,13.6
Missouri St.,1.02,15.0,20.0,4.3,0.551,8.5,46.73,37.76,17.0,22.3,70.15,15.7,7.0,30.67,8.83,39.5,65.3,74.7,9.0,4.3,23.3,38.57,26.4,9.0,-5.2,14.7,9.5
A&M-Corpus Christi,1.19,16.5,40.0,2.0,0.494,15.17,44.64,41.139,23.0,20.5,60.16,12.3,8.0,27.33,15.17,42.5,69.5,78.3,8.0,10.5,21.0,30.16,31.3,6.3,3.2,13.8,17.0
Nevada,2.21,18.2,28.0,3.8,0.554,7.0,50.4,39.669,19.2,26.0,75.96,19.8,10.0,31.5,10.5,42.0,65.2,89.0,23.0,5.0,18.2,34.25,31.2,6.2,3.2,8.2,11.5
NC State,1.7,15.0,20.4,2.8,0.523,19.8,46.3,43.431,19.2,19.4,76.29,14.8,0.0,25.2,10.6,35.8,69.8,82.6,12.0,9.4,22.2,35.14,33.3,7.8,7.8,8.8,16.6
Central Conn. St.,1.37,15.6,24.8,5.0,0.49,10.6,44.48,47.018,15.2,17.2,69.77,12.0,-1.0,24.4,9.4,33.8,70.6,72.4,1.0,7.8,20.8,26.92,34.0,5.6,4.0,11.4,15.4
La Salle,1.69,14.2,11.8,3.0,0.51,10.4,44.76,46.441,16.8,18.8,72.34,13.6,-6.0,23.4,8.0,31.4,73.0,72.0,-1.0,5.4,21.4,33.64,35.6,7.2,3.2,8.4,11.6
Clemson,1.94,19.0,22.8,5.4,0.557,6.2,47.54,42.029,16.4,16.2,71.6,11.6,4.0,26.0,9.6,35.6,66.8,79.6,12.0,4.4,25.2,39.68,34.3,10.0,1.6,9.8,11.4
Louisiana Tech,1.46,16.3,34.17,3.5,0.552,11.83,47.77,38.462,16.7,22.0,71.21,15.7,7.0,27.83,11.83,39.67,61.2,81.5,20.0,10.0,24.3,36.3,28.7,8.8,2.5,11.2,13.67
Texas A&M,1.49,12.7,21.67,3.5,0.494,5.17,44.44,42.398,15.5,22.0,75.76,16.7,14.0,25.17,18.5,43.67,69.5,80.3,10.0,5.7,21.5,29.46,34.7,6.3,1.3,8.5,9.83
UConn,1.9,19.7,19.5,6.0,0.596,12.0,52.5,38.617,15.0,23.7,76.06,18.0,15.0,28.83,13.33,42.17,60.0,89.5,29.0,7.2,25.0,34.0,30.2,8.5,2.5,10.3,12.83
Creighton,1.75,17.5,20.5,4.2,0.597,9.67,49.59,41.451,8.5,15.7,72.34,11.3,11.0,31.0,10.17,41.17,63.7,84.0,20.0,3.2,31.8,38.74,33.3,12.3,-2.3,10.0,7.67
Lipscomb,1.43,16.1,29.86,4.3,0.575,11.14,49.43,44.615,14.3,16.3,73.68,12.0,-4.0,25.43,8.14,33.57,76.9,84.4,7.0,6.9,27.0,37.57,32.7,10.1,2.1,11.3,13.43
Lamar University,1.2,17.8,32.33,4.0,0.497,18.0,43.07,40.909,21.8,24.0,74.31,17.8,7.0,28.5,14.67,43.17,75.2,83.7,8.0,8.5,22.8,38.69,30.3,8.8,0.8,14.8,15.67
Sacramento St.,1.05,16.2,24.33,1.7,0.512,9.67,42.25,47.696,16.5,18.2,73.39,13.3,10.0,26.33,14.67,41.0,79.2,77.2,-2.0,4.2,33.5,33.33,36.4,11.2,-6.3,15.3,9.0
Utah St.,1.55,19.2,21.83,5.0,0.567,13.17,51.96,38.462,18.0,20.3,66.39,13.5,8.0,29.83,10.17,40.0,62.5,81.2,18.0,7.2,17.3,32.69,22.2,5.7,0.8,12.3,13.17
Tennessee,1.38,13.8,23.83,4.7,0.475,9.83,40.71,38.053,19.2,20.2,77.69,15.7,1.0,27.83,10.17,38.0,61.5,73.7,12.0,7.8,25.2,33.11,26.7,8.3,4.2,10.0,14.17
Gonzaga,1.18,15.4,23.4,3.0,0.541,16.2,49.1,37.061,17.8,18.2,63.74,11.6,13.0,30.2,15.2,45.4,64.6,83.4,18.0,7.8,21.8,30.28,23.9,6.6,-1.0,13.0,12.0
Cincinnati,2.02,17.4,36.8,2.8,0.55,13.0,46.97,40.418,13.2,19.2,65.62,12.6,10.0,28.8,12.4,41.2,62.4,85.2,22.0,7.0,28.4,37.32,25.3,10.6,4.8,8.6,13.4
