Team,ATRatio,Apg,BPpg,Bpg,EFG%,FbP,Fg%,Fg%D,Fpg,FTApg,FTp,FTMpg,RM,RDpg,ROpg,Rpg,SD,SO,SM,Spg,3PApg,3P%,3PD%,3Ppg,TOM,Tpg,TFpg
Saint Joseph's,1.57,18.2,23.6,3.4,0.514,12.0,43.03,38.0,17.4,15.2,69.74,10.6,4.0,29.4,11.8,41.2,66.0,78.4,12.0,6.6,32.4,33.95,32.1,11.0,2.0,11.6,13.6
Marquette,1.69,15.2,22.17,2.3,0.556,13.67,48.91,41.341,15.8,17.2,66.02,11.3,-3.0,24.67,8.83,33.5,67.5,79.5,12.0,9.3,24.7,33.11,34.1,8.2,6.3,9.0,15.33
Villanova,1.12,10.8,20.67,1.7,0.518,7.33,43.66,38.024,18.8,23.5,84.4,19.8,5.0,28.0,10.67,38.67,64.3,78.3,14.0,6.0,27.0,33.95,33.5,9.2,2.3,9.7,12.0
Indiana St.,1.85,20.0,22.4,2.0,0.652,13.2,55.05,45.955,18.6,24.8,68.55,17.0,-3.0,24.8,6.4,31.2,77.8,91.8,14.0,8.0,27.2,42.65,36.6,11.6,4.2,10.8,15.0
Vermont,1.72,15.5,23.5,3.3,0.613,10.0,51.75,39.823,13.3,14.3,67.44,9.7,6.0,28.33,8.33,36.67,59.3,79.5,20.0,6.2,27.7,39.16,30.6,10.8,1.5,9.0,10.5
Colorado,1.37,19.4,18.6,3.6,0.551,15.0,48.47,40.484,15.8,22.2,77.48,17.2,9.0,26.8,12.4,39.2,67.0,82.2,15.0,7.6,18.0,43.33,31.8,7.8,-0.6,14.2,13.6
Missouri St.,1.07,14.4,19.4,4.4,0.529,6.8,45.0,37.975,16.6,18.2,65.93,12.0,5.0,30.8,9.0,39.8,63.6,71.2,7.0,4.8,23.6,37.29,25.2,8.8,-3.6,13.4,9.8
A&M-Corpus Christi,1.31,18.8,41.2,2.4,0.518,16.2,46.29,40.23,23.0,18.6,56.99,10.6,9.0,28.0,14.8,42.8,66.8,80.4,13.0,11.2,22.2,33.33,28.6,7.4,3.2,14.4,17.6
Nevada,2.21,18.2,28.0,3.8,0.554,7.0,50.4,39.669,19.2,26.0,75.96,19.8,10.0,31.5,10.5,42.0,65.2,89.0,23.0,5.0,18.2,34.25,31.2,6.2,3.2,8.2,11.5
NC State,1.77,15.5,22.75,3.5,0.517,19.5,46.15,39.72,19.0,18.8,77.33,14.5,1.0,25.75,11.5,37.25,63.5,81.8,18.0,9.0,21.5,33.72,29.7,7.2,7.8,8.8,16.5
Central Conn. St.,1.37,15.6,24.8,5.0,0.49,10.6,44.48,47.018,15.2,17.2,69.77,12.0,-1.0,24.4,9.4,33.8,70.6,72.4,1.0,7.8,20.8,26.92,34.0,5.6,4.0,11.4,15.4
La Salle,1.69,14.2,11.8,3.0,0.51,10.4,44.76,46.441,16.8,18.8,72.34,13.6,-6.0,23.4,8.0,31.4,73.0,72.0,-1.0,5.4,21.4,33.64,35.6,7.2,3.2,8.4,11.6
Clemson,1.64,17.2,24.25,6.2,0.555,6.5,47.23,40.179,16.8,15.8,74.6,11.8,1.0,25.25,8.75,34.0,66.2,77.0,10.0,4.2,24.2,40.21,34.1,9.8,1.5,10.5,12.0
Louisiana Tech,1.44,15.8,27.6,3.8,0.531,10.4,45.99,38.989,17.2,22.4,70.54,15.8,5.0,27.6,11.0,38.6,60.4,76.8,16.0,9.0,24.0,34.17,27.5,8.2,1.6,11.0,12.6
Texas A&M,1.74,13.6,20.4,3.6,0.481,3.2,43.75,40.21,14.4,22.4,75.89,17.0,13.0,26.4,17.8,44.2,64.2,78.6,14.0,5.6,21.4,26.17,29.9,5.6,2.4,7.8,10.2
UConn,1.81,19.2,18.6,6.2,0.584,11.6,51.34,38.38,16.8,26.6,74.44,19.8,16.0,29.0,14.4,43.4,60.0,89.4,29.0,6.6,26.0,32.31,26.9,8.4,2.2,10.6,12.8
Creighton,1.75,17.5,20.5,4.2,0.597,9.67,49.59,41.451,8.5,15.7,72.34,11.3,11.0,31.0,10.17,41.17,63.7,84.0,20.0,3.2,31.8,38.74,33.3,12.3,-2.3,10.0,7.67
Lipscomb,1.74,18.4,32.4,4.6,0.611,12.8,51.41,43.519,14.2,14.8,72.97,10.8,-5.0,26.2,6.8,33.0,76.2,88.8,12.0,7.6,30.0,41.33,33.0,12.4,3.2,10.6,13.8
Sacramento St.,1.05,16.2,24.33,1.7,0.512,9.67,42.25,47.696,16.5,18.2,73.39,13.3,10.0,26.33,14.67,41.0,79.2,77.2,-2.0,4.2,33.5,33.33,36.4,11.2,-6.3,15.3,9.0
Utah St.,1.55,19.2,21.83,5.0,0.567,13.17,51.96,38.462,18.0,20.3,66.39,13.5,8.0,29.83,10.17,40.0,62.5,81.2,18.0,7.2,17.3,32.69,22.2,5.7,0.8,12.3,13.17
Tennessee,1.38,13.8,23.83,4.7,0.475,9.83,40.71,38.053,19.2,20.2,77.69,15.7,1.0,27.83,10.17,38.0,61.5,73.7,12.0,7.8,25.2,33.11,26.7,8.3,4.2,10.0,14.17
Gonzaga,1.18,15.4,23.4,3.0,0.541,16.2,49.1,37.061,17.8,18.2,63.74,11.6,13.0,30.2,15.2,45.4,64.6,83.4,18.0,7.8,21.8,30.28,23.9,6.6,-1.0,13.0,12.0
Cincinnati,2.02,17.4,36.8,2.8,0.55,13.0,46.97,40.418,13.2,19.2,65.62,12.6,10.0,28.8,12.4,41.2,62.4,85.2,22.0,7.0,28.4,37.32,25.3,10.6,4.8,8.6,13.4
Pittsburgh,1.84,18.0,25.6,6.8,0.547,13.2,46.59,37.785,16.2,26.4,63.64,16.8,18.0,33.4,16.0,49.4,65.6,90.6,25.0,6.8,30.6,35.95,26.2,11.0,1.2,9.8,11.0
Montana St.,1.44,12.4,21.6,3.0,0.512,7.4,44.15,43.774,17.6,13.2,75.76,10.0,-10.0,22.0,6.6,28.6,63.2,71.2,8.0,10.2,27.2,30.88,28.4,8.4,9.2,8.6,17.8
Toledo,1.32,15.6,25.8,1.8,0.545,14.4,49.17,52.431,16.2,22.0,76.36,16.8,-3.0,19.4,10.8,30.2,76.8,82.8,6.0,8.2,15.0,42.67,32.9,6.4,5.2,11.8,17.0
Houston,1.62,14.3,27.17,4.3,0.51,10.67,44.29,35.664,17.2,20.7,64.52,13.3,9.0,26.17,15.17,41.33,49.8,75.8,26.0,11.3,23.0,35.51,29.4,8.2,8.0,8.8,16.83
UNLV,1.1,11.0,23.6,3.2,0.53,7.4,47.04,50.172,14.2,16.8,71.43,12.0,-2.0,21.0,9.8,30.8,74.6,72.8,-1.0,6.4,22.0,30.91,40.2,6.8,2.2,10.0,12.2
Liberty,1.66,16.6,30.8,1.8,0.604,5.8,50.67,40.426,14.6,16.4,68.29,11.2,7.0,28.2,9.6,37.8,60.6,83.2,22.0,5.8,28.2,41.13,25.5,11.6,1.8,10.0,11.8
New Hampshire,1.44,15.0,24.8,2.0,0.503,16.0,43.2,37.582,17.2,20.6,74.76,15.4,0.0,30.8,10.2,41.0,67.0,82.0,15.0,9.8,28.8,32.64,23.4,9.4,4.0,10.4,14.4
New Orleans,1.36,15.2,34.25,3.0,0.485,20.5,44.28,43.969,19.5,26.2,77.14,20.2,-5.0,25.5,12.0,37.5,77.0,86.0,9.0,9.8,20.0,28.75,28.9,5.8,7.2,11.2,18.5
Michigan,1.2,16.0,18.0,3.7,0.586,10.83,51.06,43.342,16.7,18.7,66.96,12.5,7.0,27.17,12.17,39.33,75.3,86.0,10.0,5.2,24.7,38.51,39.2,9.5,-0.3,13.3,13.0
N.C. Central,1.28,14.4,32.29,3.4,0.515,15.43,45.33,41.176,16.9,17.7,66.94,11.9,-2.0,24.14,11.14,35.29,68.9,76.4,7.0,10.0,24.4,31.58,29.0,7.7,4.1,11.3,15.43
Arkansas,0.9,11.0,30.5,6.3,0.508,10.83,44.85,42.077,20.7,30.3,70.33,21.3,5.0,28.5,11.5,40.0,73.3,82.2,8.0,5.7,21.2,33.86,34.3,7.2,0.8,12.2,13.0
Florida St.,1.17,16.8,30.6,4.8,0.552,14.0,49.03,43.878,22.2,22.2,66.67,14.8,-2.0,25.6,9.8,35.4,73.8,83.2,9.0,11.8,22.0,34.55,23.9,7.6,4.0,14.4,18.4
Austin Peay,0.95,10.3,12.17,3.3,0.48,8.5,41.57,43.653,18.8,16.7,68.0,11.3,0.0,24.33,11.33,35.67,66.5,68.3,1.0,9.8,22.3,34.33,27.5,7.7,3.3,10.8,14.17
UTSA,1.27,13.2,26.2,5.0,0.456,11.8,40.0,40.549,23.0,24.8,69.35,17.2,-6.0,28.2,12.8,41.0,83.8,77.4,-6.0,5.8,24.4,30.33,31.9,7.4,-0.4,10.4,10.0
Utah,1.44,18.4,17.2,3.6,0.546,6.8,46.89,42.633,13.0,21.8,68.81,15.0,8.0,30.2,11.4,41.6,71.2,81.6,10.0,7.0,24.2,38.84,35.8,9.4,-2.0,12.8,10.8
Oregon,1.61,13.2,25.25,3.2,0.512,11.25,45.31,39.565,15.5,27.8,58.56,16.2,11.0,32.0,12.5,44.5,63.2,79.0,15.0,7.8,19.0,38.16,28.8,7.2,3.5,8.2,11.75
San Francisco,1.26,18.0,28.67,4.0,0.572,12.0,50.27,38.535,17.8,14.7,73.86,10.8,10.0,25.67,11.83,37.5,60.7,81.3,20.0,9.5,23.7,35.92,29.3,8.5,2.2,14.3,16.5
Butler,1.27,14.0,25.0,4.0,0.533,11.4,46.36,38.312,15.8,22.0,76.36,16.8,0.0,28.4,9.4,37.8,64.6,81.2,16.0,6.8,24.4,34.43,27.9,8.4,3.4,11.0,14.4
Hofstra,1.51,17.7,18.0,4.0,0.583,7.5,49.48,39.344,18.0,13.3,80.0,10.7,0.0,27.83,9.0,36.83,71.5,85.3,13.0,6.7,29.5,38.42,32.6,11.3,1.7,11.7,13.33
James Madison,1.38,15.7,24.83,4.0,0.553,10.67,48.12,43.272,21.8,26.3,70.25,18.5,-1.0,26.33,11.17,37.5,80.5,92.0,11.0,9.0,24.0,39.58,30.9,9.5,4.8,11.3,16.17
TCU,1.56,22.4,36.0,6.0,0.581,29.4,52.8,41.438,18.2,21.4,77.57,16.6,12.0,29.0,12.8,41.8,63.2,91.4,28.0,11.6,19.8,34.34,32.5,6.8,4.0,14.4,18.4
Harvard,1.41,16.5,12.17,6.7,0.546,14.0,47.54,36.658,14.7,15.2,71.43,10.8,1.0,30.33,10.33,40.67,66.7,77.5,10.0,5.5,22.3,38.81,29.4,8.7,-0.8,11.7,10.83
Syracuse,1.21,13.3,20.0,5.0,0.496,14.33,44.39,41.451,14.2,16.7,71.0,11.8,-2.0,27.67,11.0,38.67,71.5,78.2,6.0,9.2,24.3,28.77,32.4,7.0,4.7,11.0,15.67
Auburn,1.54,20.0,37.8,6.2,0.539,12.6,46.64,38.0,20.6,24.8,73.39,18.2,7.0,27.8,12.4,40.2,66.4,82.4,16.0,6.0,23.8,36.13,22.4,8.6,0.4,13.0,13.4
Northwestern,1.41,13.0,9.0,4.8,0.483,7.6,43.01,44.033,16.6,15.0,78.67,11.8,-2.0,19.4,10.8,30.2,62.6,67.0,4.0,9.4,20.6,29.13,38.1,6.0,6.8,9.2,16.0
Drake,1.66,16.6,10.8,1.0,0.575,9.4,49.13,49.64,14.6,19.2,77.08,14.8,0.0,23.0,8.0,31.0,73.0,80.8,7.0,6.8,25.4,37.8,35.8,9.6,5.0,10.0,15.0
Marshall,1.16,14.6,14.4,5.6,0.451,10.2,40.43,42.508,17.0,19.0,73.68,14.0,-1.0,27.6,13.0,40.6,73.8,72.4,-1.0,7.2,24.4,24.59,28.6,6.0,1.8,12.6,14.4
UT Arlington,1.29,18.0,30.8,2.8,0.505,7.4,42.64,42.553,18.2,17.0,69.41,11.8,10.0,29.8,15.0,44.8,77.4,77.6,0.0,4.4,31.0,32.9,36.2,10.2,-5.2,14.0,8.8
Akron,1.12,15.2,27.17,2.0,0.552,10.33,46.53,44.186,16.5,19.0,72.81,13.8,5.0,26.17,10.17,36.33,66.7,77.5,10.0,7.0,28.3,35.29,33.3,10.0,0.3,13.5,13.83
UNC Greensboro,1.48,14.3,22.67,1.7,0.533,8.0,45.41,42.105,20.3,14.3,76.74,11.0,3.0,25.67,11.67,37.33,74.7,80.7,6.0,6.0,27.3,37.8,30.0,10.3,1.3,9.7,11.0
LMU (CA),1.0,12.5,29.17,2.5,0.558,8.67,47.69,43.266,19.7,22.0,73.48,16.2,4.0,26.0,9.67,35.67,72.8,80.5,7.0,5.5,25.5,36.6,35.3,9.3,-0.7,12.5,11.83
FDU,1.39,17.7,31.83,2.3,0.548,19.17,46.31,41.604,18.2,23.8,71.33,17.0,-2.0,28.5,10.67,39.17,77.8,88.8,11.0,9.8,31.3,35.64,31.9,11.2,3.0,12.7,15.67
William & Mary,1.17,13.5,24.33,1.2,0.513,6.67,43.18,41.071,19.3,21.5,72.87,15.7,4.0,27.83,10.33,38.17,70.0,77.0,7.0,5.2,29.2,33.14,33.8,9.7,1.0,11.5,12.5
Delaware,1.45,16.0,23.0,3.8,0.602,7.5,52.65,38.43,15.2,20.0,62.5,12.5,5.0,28.5,8.75,37.25,62.2,80.5,18.0,5.8,18.8,45.33,27.8,8.5,-0.2,11.0,10.75
Maine,1.25,13.4,25.71,2.9,0.537,10.14,48.48,42.67,16.9,17.6,73.98,13.0,0.0,25.57,7.29,32.86,65.1,73.4,8.0,9.3,18.7,31.3,29.3,5.9,3.3,10.7,14.0
Oklahoma St.,1.32,15.8,25.4,2.6,0.531,9.6,45.55,41.637,17.8,19.4,59.79,11.6,3.0,25.6,10.8,36.4,66.8,73.6,6.0,6.4,26.6,33.08,31.4,8.8,1.0,12.0,13.0
Yale,1.34,13.7,17.67,2.8,0.526,6.83,47.24,40.214,14.2,18.0,73.15,13.2,1.0,28.33,7.83,36.17,69.0,76.7,7.0,5.5,18.2,35.78,30.7,6.5,1.0,10.2,11.17
Columbia,1.35,17.3,31.0,2.3,0.524,17.83,46.07,39.167,16.3,22.3,79.85,17.8,2.0,27.17,9.33,36.5,65.3,80.0,14.0,11.0,22.5,33.33,26.8,7.5,4.0,12.8,16.83
UNC Asheville,1.8,22.0,40.0,5.0,0.612,12.75,52.61,40.873,18.8,24.8,66.67,16.5,4.0,26.75,10.5,37.25,73.8,92.8,19.0,6.5,29.5,36.44,37.4,10.8,3.8,12.2,16.0
SMU,1.33,15.3,26.33,5.2,0.483,15.0,42.71,37.778,18.8,18.3,69.09,12.7,3.0,27.17,14.17,41.33,64.8,74.5,9.0,9.3,21.3,33.59,26.2,7.2,2.3,11.5,13.83
Xavier,1.33,16.8,19.8,3.2,0.502,11.2,45.54,35.849,17.6,19.0,63.16,12.0,0.0,29.4,10.4,39.8,65.0,72.8,7.0,6.8,18.8,29.79,25.3,5.6,0.0,12.6,12.6
FGCU,1.0,11.2,24.33,2.5,0.496,9.17,43.22,45.21,17.7,18.5,70.27,13.0,2.0,23.33,12.17,35.5,76.2,71.5,-4.0,5.0,25.3,29.61,38.3,7.5,-1.5,11.2,9.67
UCLA,1.14,13.3,19.5,4.2,0.503,9.67,46.79,36.013,18.5,23.2,73.38,17.0,9.0,26.67,10.67,37.33,56.7,71.8,15.0,7.3,13.0,29.49,27.8,3.8,1.7,11.7,13.33
Kennesaw St.,1.32,17.0,26.5,4.7,0.487,23.0,42.24,37.75,19.8,21.8,70.99,15.5,5.0,31.17,16.0,47.17,74.8,86.7,11.0,9.2,32.3,29.38,25.7,9.5,3.0,12.8,15.83
Memphis,1.09,14.8,27.0,6.4,0.556,11.8,47.84,38.509,17.4,21.6,70.37,15.2,-2.0,26.4,10.2,36.6,70.6,82.2,11.0,9.6,24.2,38.84,32.0,9.4,2.2,13.6,15.8
Northern Colo.,0.93,11.8,17.0,2.2,0.497,13.5,42.66,42.898,17.2,21.7,69.23,15.0,1.0,27.0,10.67,37.67,72.2,74.8,2.0,6.3,27.5,30.91,34.7,8.5,0.7,12.7,13.33
Wofford,1.25,16.0,33.0,3.2,0.549,6.75,46.09,48.707,20.0,20.5,65.85,13.5,-1.0,21.75,11.0,32.75,86.5,80.2,-6.0,3.8,30.0,35.83,37.9,10.8,-2.8,12.8,10.0
Ohio,1.58,13.7,16.67,4.3,0.517,8.33,44.69,37.363,19.7,22.7,76.47,17.3,-2.0,26.33,10.33,36.67,68.0,79.0,11.0,7.0,25.3,32.89,27.0,8.3,5.0,8.7,13.67
Louisiana,1.41,16.0,19.0,4.7,0.561,11.67,47.55,47.813,17.5,15.0,75.56,11.3,0.0,21.67,12.83,34.5,73.0,83.7,10.0,7.7,28.0,39.29,22.6,11.0,3.2,11.3,14.5
South Fla.,1.25,13.8,34.25,2.2,0.456,15.25,41.91,42.009,18.5,23.2,77.42,18.0,0.0,26.0,10.5,36.5,63.8,73.0,9.0,8.0,20.5,21.95,25.3,4.5,4.8,11.0,15.75
UNI,1.13,14.2,20.8,2.2,0.533,5.0,46.15,40.878,19.4,20.4,64.71,13.2,2.0,27.4,9.4,36.8,74.0,74.2,0.0,5.6,24.0,34.17,35.9,8.2,-1.4,12.6,11.2
Saint Mary's (CA),1.21,13.8,22.6,5.2,0.45,5.6,40.32,38.408,15.6,18.6,64.52,12.0,11.0,28.4,16.4,44.8,58.4,67.8,9.0,5.6,22.4,25.89,28.6,5.8,-0.2,11.4,11.2
Sacred Heart,1.07,12.7,30.33,5.2,0.519,11.33,45.55,43.28,18.5,20.3,71.31,14.5,2.0,27.17,13.17,40.33,71.2,82.5,11.0,10.2,20.7,40.32,32.4,8.3,3.2,11.8,15.0
Alabama,1.4,15.8,38.0,4.2,0.662,19.25,57.02,39.331,18.0,31.0,77.42,24.0,15.0,31.0,12.25,43.25,66.5,101.8,35.0,8.5,22.0,48.86,27.2,10.8,1.0,11.2,12.25
Charleston So.,1.0,14.6,21.2,3.0,0.586,12.0,50.9,42.763,18.2,18.4,70.65,13.0,2.0,25.2,9.6,34.8,73.4,78.4,5.0,3.8,21.6,39.81,27.6,8.6,-4.2,14.6,10.4
Murray St.,1.31,13.6,13.4,2.8,0.51,11.8,45.16,45.955,15.4,21.4,67.29,14.4,4.0,27.6,11.4,39.0,73.2,77.6,4.0,4.8,21.2,33.96,33.7,7.2,0.8,10.4,11.2
North Carolina,1.35,14.0,24.6,5.8,0.522,10.0,46.03,38.462,16.0,25.2,76.19,19.2,6.0,28.6,12.4,41.0,68.4,85.0,16.0,5.8,21.6,36.11,30.9,7.8,2.8,10.4,13.2
USC Upstate,1.31,14.0,21.0,3.0,0.506,14.17,43.98,44.411,18.0,14.8,66.29,9.8,-9.0,22.17,7.83,30.0,71.2,70.0,-1.0,9.5,21.3,36.72,31.1,7.8,4.8,10.7,15.5
Wyoming,0.9,14.6,16.0,5.2,0.565,9.4,49.09,38.585,15.4,23.8,73.11,17.4,4.0,26.6,10.8,37.4,66.4,79.6,13.0,6.0,20.4,40.2,28.0,8.2,-1.2,16.2,15.0
Davidson,1.23,12.8,22.0,2.8,0.498,6.0,42.76,38.516,16.2,19.2,72.92,14.0,3.0,27.2,10.8,38.0,61.4,70.4,9.0,7.2,24.4,32.79,31.1,8.0,1.6,10.4,12.0
Miami (FL),1.29,16.0,10.8,5.2,0.615,17.2,52.36,41.298,15.0,19.6,82.65,16.2,0.0,28.2,7.8,36.0,72.6,89.0,16.0,8.6,23.6,45.76,26.8,10.8,2.0,12.4,14.4
New Mexico,1.46,15.2,21.0,4.0,0.493,14.8,45.4,40.94,18.2,22.0,74.55,16.4,6.0,28.8,13.4,42.2,69.4,82.8,13.0,7.2,17.0,30.59,28.2,5.2,4.2,10.4,14.6
Hawaii,0.95,12.3,29.0,3.3,0.562,4.33,49.4,44.048,19.3,25.3,72.37,18.3,8.0,27.33,10.0,37.33,66.7,81.3,14.0,4.3,22.3,34.33,32.7,7.7,1.0,13.0,14.0
Arizona,1.54,21.0,32.17,5.0,0.575,21.0,51.38,38.108,16.5,24.7,76.35,18.8,19.0,32.17,15.33,47.5,63.8,95.3,31.0,9.7,20.8,39.2,31.5,8.2,2.2,13.7,15.83
Air Force,1.21,14.7,9.43,5.3,0.542,4.14,45.98,38.56,17.1,20.0,67.86,13.6,-1.0,26.43,6.57,33.0,61.9,67.4,5.0,5.9,23.4,34.76,30.0,8.1,-1.1,12.1,11.0
Duke,1.94,18.6,24.2,3.8,0.582,10.6,51.15,40.203,16.8,18.0,76.67,13.8,5.0,29.2,8.8,38.0,64.6,84.8,20.0,6.8,23.6,36.44,29.0,8.6,3.4,9.6,13.0
Bethune-Cookman,1.37,16.8,27.0,3.8,0.51,27.5,45.42,39.091,19.2,19.5,70.51,13.8,9.0,26.25,17.75,44.0,65.5,89.0,23.0,17.2,27.0,30.56,32.3,8.2,11.5,12.2,23.75
Minnesota,1.34,18.8,27.0,6.0,0.537,14.4,46.15,37.654,16.0,24.6,78.05,19.2,10.0,31.6,12.0,43.6,65.2,80.6,15.0,6.0,25.6,33.59,32.7,8.6,-3.0,14.0,11.0
South Carolina,1.25,15.2,21.0,2.6,0.555,6.4,48.23,41.516,19.0,20.4,68.63,14.0,6.0,25.6,10.4,36.0,66.0,76.6,10.0,5.6,20.8,39.42,28.9,8.2,-0.6,12.2,11.6
Arkansas St.,1.2,16.5,24.0,3.8,0.537,9.25,45.91,52.991,22.8,19.0,64.47,12.2,0.0,22.75,11.75,34.5,90.0,81.2,-8.0,4.8,27.5,36.36,34.7,10.0,-4.8,13.8,9.0
UC Irvine,1.57,18.8,33.0,3.3,0.555,15.83,50.0,39.306,18.5,20.7,66.94,13.8,5.0,27.5,10.67,38.17,64.7,81.5,16.0,7.8,18.2,36.7,27.7,6.7,2.3,12.0,14.33
West Virginia,1.07,12.8,7.6,4.0,0.436,9.6,37.5,40.614,12.6,20.4,68.63,14.0,5.0,27.2,12.4,39.6,63.0,62.8,0.0,3.8,21.8,31.19,34.5,6.8,-3.0,12.0,9.0
Montana,1.47,14.0,25.25,2.8,0.533,10.25,48.76,41.277,17.8,18.5,77.03,14.2,3.0,27.75,9.0,36.75,69.2,78.8,9.0,4.5,17.8,30.99,32.3,5.5,0.8,9.5,10.25
Western Caro.,1.44,12.2,20.5,4.0,0.539,8.25,47.52,41.423,15.8,19.8,73.42,14.5,5.0,29.5,10.25,39.75,66.0,79.8,13.0,3.8,20.0,38.75,30.3,7.8,1.2,8.5,9.75
UNCW,1.25,13.0,37.2,3.0,0.572,18.2,49.06,48.355,16.0,21.2,74.53,15.8,0.0,26.4,9.0,35.4,75.8,88.6,12.0,7.0,23.4,44.44,34.3,10.4,3.8,10.4,14.2
