Team,ATRatio,Apg,BPpg,Bpg,EFG%,FbP,Fg%,Fg%D,Fpg,FTApg,FTp,FTMpg,RM,RDpg,ROpg,Rpg,SD,SO,SM,Spg,3PApg,3P%,3PD%,3Ppg,TOM,Tpg,TFpg
Northeastern,0.94,11.3,23.67,4.0,0.473,3.67,41.42,45.856,11.0,18.3,67.27,12.3,0.0,24.0,11.33,,72.3,65.7,-6.0,5.7,20.3,32.79,40.0,6.7,-1.7,12.0,10.33
Wisconsin,0.94,11.0,22.0,2.0,0.511,4.67,46.45,48.718,21.3,21.7,72.31,15.7,0.0,21.33,10.0,,76.0,78.0,2.0,5.3,18.7,30.36,30.4,5.7,3.3,11.7,15.0
UMBC,0.94,10.3,31.33,3.0,0.512,8.33,45.5,45.055,17.3,19.7,52.54,10.3,-1.0,25.67,12.33,,74.7,78.7,4.0,7.3,19.7,38.98,28.3,7.7,5.0,11.0,16.0
Hampton,0.94,15.0,28.33,1.7,0.568,20.67,50.53,38.15,21.7,20.7,66.13,13.7,7.0,27.33,11.67,,71.0,85.7,14.0,9.0,26.7,30.0,23.8,8.0,0.0,16.0,16.0
South Dakota,0.93,13.7,22.67,3.3,0.518,9.67,45.08,40.0,16.7,19.0,78.95,15.0,10.0,28.0,15.67,,68.0,81.7,13.0,5.0,21.7,40.0,29.4,8.7,-0.7,14.7,14.0
Indiana,1.27,15.7,11.0,5.3,0.581,10.33,54.36,39.791,14.0,28.0,67.86,19.0,0.0,26.33,6.67,,69.0,76.7,7.0,4.7,13.3,27.5,37.8,3.7,0.0,12.3,12.33
Loyola Maryland,0.93,13.0,18.33,3.3,0.477,8.0,41.24,46.561,18.3,17.7,71.7,12.7,-4.0,26.67,9.0,,77.0,69.0,-8.0,7.0,22.3,34.33,25.5,7.7,-2.7,14.0,11.33
Northern Ariz.,0.93,13.0,17.33,3.0,0.42,6.0,38.51,49.693,22.0,13.3,57.5,7.7,-13.0,21.0,6.67,,81.3,56.3,-25.0,5.7,18.7,21.43,27.6,4.0,-0.7,14.0,13.33
Southern Miss.,0.93,12.7,16.33,3.3,0.433,9.0,39.78,31.579,16.3,20.0,55.0,11.0,12.0,33.0,14.0,,53.0,64.7,11.0,9.0,19.0,22.81,20.7,4.3,2.3,13.7,16.0
Youngstown St.,0.93,12.7,21.0,4.3,0.495,8.67,43.59,43.523,15.0,14.0,71.43,10.0,1.0,25.67,11.33,,78.3,74.3,-4.0,5.3,26.3,29.11,31.3,7.7,-2.3,13.7,11.33
Pepperdine,0.92,12.2,22.0,2.2,0.519,14.5,46.22,41.584,17.8,22.5,78.89,17.8,12.0,27.75,11.25,,62.2,79.5,17.0,6.0,17.2,39.13,33.3,6.8,0.5,13.2,13.75
