Team,ATRatio,Apg,BPpg,Bpg,EFG%,FbP,Fg%,Fg%D,Fpg,FTApg,FTp,FTMpg,RM,RDpg,ROpg,Rpg,SD,SO,SM,Spg,3PApg,3P%,3PD%,3Ppg,TOM,Tpg,TFpg,PPG_x,PPG_y
Utah St.,1.71,20.0,21.0,5.0,0.581,15.0,51.89,41.209,20.0,22.3,67.16,15.0,13.0,32.33,11.67,,68.0,86.7,18.0,8.0,21.7,35.38,23.7,7.7,0.3,11.7,12.0,86.7,81.6
Tennessee,1.71,16.0,30.0,5.3,0.551,9.67,47.19,35.838,18.3,18.7,82.14,15.3,6.0,28.33,9.67,,57.7,80.7,23.0,6.7,24.7,37.84,24.7,9.3,3.7,9.3,13.0,80.7,78.8
Gonzaga,1.71,18.0,41.5,3.5,0.623,19.0,57.53,34.074,15.5,21.0,64.29,13.5,23.0,35.5,16.5,,64.0,104.5,40.0,8.0,20.5,34.15,27.8,7.0,1.5,10.5,12.0,104.5,90.7
Cincinnati,1.69,16.3,36.0,2.0,0.533,10.33,45.96,41.954,13.7,19.7,61.02,12.0,11.0,30.33,12.0,,64.0,82.3,18.0,7.3,26.7,36.25,25.8,9.7,3.7,9.7,13.33,82.3,84.2
Pittsburgh,2.09,18.2,29.25,7.2,0.578,16.0,49.44,35.27,16.0,27.8,63.96,17.8,20.0,34.0,16.25,,60.5,95.5,35.0,7.2,29.8,37.82,24.5,11.2,3.0,8.8,11.75,95.5,95.5
Montana St.,1.48,13.3,33.33,3.0,0.561,9.67,48.66,43.671,19.0,11.0,72.73,8.0,-7.0,22.33,6.33,,64.7,78.0,13.0,10.7,28.0,33.33,24.0,9.3,9.3,9.0,18.33,78.0,71.8
Toledo,1.68,15.7,32.33,1.3,0.577,14.67,52.2,54.217,12.3,22.3,73.13,16.3,-1.0,18.33,11.33,,71.7,86.3,14.0,10.7,15.0,44.44,32.2,6.7,9.3,9.3,18.67,86.3,86.3
Houston,1.63,15.0,29.8,4.4,0.513,11.8,44.59,34.728,17.8,23.2,62.93,14.6,9.0,27.2,14.8,,48.8,77.2,28.0,12.2,23.6,34.75,30.7,8.2,8.8,9.2,18.0,77.2,75.8
UNLV,1.36,12.7,20.67,4.0,0.543,8.0,47.13,43.784,15.3,16.0,72.92,11.7,-2.0,23.33,10.0,,69.3,74.7,5.0,6.0,25.0,33.33,35.2,8.3,3.0,9.3,12.33,74.7,74.8
Liberty,1.74,17.0,33.75,2.2,0.611,5.75,50.82,39.91,15.2,17.5,67.14,11.8,7.0,27.5,10.5,,60.5,86.2,25.0,6.2,30.8,40.65,24.2,12.5,3.0,9.8,12.75,86.2,83.2
New Hampshire,1.54,15.8,28.75,2.0,0.495,16.75,42.35,34.538,18.2,19.0,76.32,14.5,0.0,32.5,11.25,,66.0,84.0,18.0,10.0,31.5,31.75,23.3,10.0,5.0,10.2,15.25,84.0,84.0
New Orleans,1.67,18.3,41.33,3.0,0.493,24.0,44.91,39.487,18.3,27.0,77.78,21.0,-2.0,27.67,14.0,,70.7,92.0,21.0,10.0,21.0,30.16,25.9,6.3,9.7,11.0,20.67,92.0,86.0
Michigan,1.43,17.5,22.25,3.2,0.6,10.75,52.11,41.667,17.8,19.8,67.09,13.2,4.0,27.25,12.0,,75.8,91.5,15.0,4.2,26.5,38.68,37.0,10.2,1.2,12.2,13.5,91.5,91.5
N.C. Central,1.5,16.2,38.2,3.8,0.525,17.8,46.23,40.339,17.0,18.4,67.39,12.4,-3.0,23.8,11.0,,68.0,79.2,11.0,10.8,24.6,32.52,26.3,8.0,6.2,10.8,17.0,79.2,79.0
Arkansas,1.26,13.2,33.75,7.8,0.559,14.25,49.12,41.129,19.0,30.5,67.21,20.5,4.0,30.0,8.75,,70.5,84.2,13.0,5.2,22.5,34.44,36.2,7.8,1.0,10.5,11.5,84.2,84.2
Florida St.,1.41,18.3,35.33,5.0,0.522,10.67,46.04,43.86,22.7,23.7,63.38,15.0,-3.0,24.0,13.33,,74.3,85.3,11.0,11.3,24.7,33.78,24.2,8.3,6.3,13.0,19.33,85.3,84.8
Austin Peay,1.34,12.8,15.0,3.2,0.484,9.75,41.13,44.393,19.0,15.0,61.67,9.2,-2.0,25.25,10.75,,65.5,69.2,3.0,11.5,26.8,33.64,24.7,9.0,5.2,9.5,14.75,69.2,67.2
UTSA,1.25,12.5,25.5,4.0,0.435,13.0,37.64,39.615,22.0,24.8,69.7,17.2,-8.0,28.5,12.5,,83.0,74.5,-8.0,5.8,25.5,30.39,34.0,7.8,0.0,10.0,10.0,74.5,77.4
Utah,1.5,19.5,18.0,4.5,0.553,7.25,47.68,39.921,13.0,23.2,68.82,16.0,13.0,32.5,11.5,,66.2,81.5,15.0,6.0,24.0,37.5,32.4,9.0,-3.5,13.0,9.5,81.5,81.6
Oregon,1.92,16.0,28.67,3.0,0.51,10.33,45.54,40.113,15.7,25.0,57.33,14.3,15.0,33.0,15.0,,66.3,83.0,16.0,8.0,19.3,37.93,27.1,7.3,4.0,8.3,12.33,83.0,79.0
San Francisco,1.39,19.5,31.25,4.5,0.596,12.5,52.4,39.234,19.8,15.5,70.97,11.0,7.0,24.75,11.0,,62.5,85.5,23.0,9.2,25.0,36.0,23.8,9.0,3.2,14.0,17.25,85.5,82.4
Butler,1.29,14.5,26.0,4.5,0.523,12.75,45.45,34.694,14.8,22.0,76.14,16.8,2.0,30.25,9.25,,58.0,80.0,22.0,7.2,25.8,32.04,27.0,8.2,4.2,11.2,15.5,80.0,80.0
James Madison,1.48,17.0,26.25,3.8,0.529,10.25,45.29,43.446,23.5,28.5,72.81,20.8,-2.0,28.0,11.5,,85.8,93.8,8.0,10.0,27.0,38.89,30.6,10.5,4.5,11.5,16.0,93.8,93.8
TCU,1.61,23.0,35.25,6.2,0.591,27.5,53.96,41.048,17.5,17.0,75.0,12.8,16.0,29.0,14.0,,60.5,91.0,30.0,11.8,18.0,37.5,32.8,6.8,4.2,14.2,18.5,91.0,91.0
Harvard,1.27,16.2,12.4,7.4,0.544,14.8,47.42,36.637,15.0,14.2,73.24,10.4,3.0,31.0,11.0,,66.0,77.8,11.0,5.6,22.4,38.39,28.7,8.6,-1.6,12.8,11.2,77.8,77.8
Syracuse,1.5,14.0,18.0,4.7,0.505,20.0,45.23,44.271,13.0,22.0,75.76,16.7,-2.0,27.0,11.67,,74.7,83.7,9.0,10.0,24.0,29.17,35.1,7.0,6.3,9.3,15.67,83.7,76.8
Auburn,1.56,20.2,35.0,6.2,0.541,10.75,46.5,39.095,21.5,22.0,73.86,16.2,3.0,26.0,12.25,,69.5,82.0,12.0,5.2,23.8,38.95,22.9,9.2,0.2,13.0,13.25,82.0,82.0
Northwestern,1.51,14.0,9.25,5.2,0.498,8.25,44.44,43.299,16.0,17.0,79.41,13.5,0.0,19.0,11.75,,61.8,69.5,7.0,9.5,19.2,31.17,38.9,6.0,7.0,9.2,16.25,69.5,67.0
Drake,1.5,15.0,9.5,1.5,0.612,11.0,52.59,44.915,14.0,21.0,71.43,15.0,3.0,24.5,9.0,,68.5,86.0,17.0,6.5,25.0,40.0,31.0,10.0,4.0,10.0,14.0,86.0,81.2
Marshall,1.5,13.5,15.5,7.5,0.453,15.5,41.01,38.168,17.5,19.0,65.79,12.5,-6.0,27.5,14.0,,69.5,75.5,6.0,9.0,22.5,26.67,31.4,6.0,7.5,9.0,16.5,75.5,72.8
UT Arlington,1.24,17.0,32.33,1.7,0.507,7.33,43.14,39.896,18.7,19.3,74.14,14.3,15.0,32.0,17.33,,72.3,83.3,11.0,5.0,30.7,33.7,31.0,10.3,-4.0,13.7,9.67,83.3,76.5
Tulane,1.53,15.3,15.67,4.0,0.593,12.33,53.67,41.081,14.0,24.7,82.43,20.3,-7.0,25.67,5.0,,69.7,90.3,20.0,12.7,23.0,28.99,29.2,6.7,9.3,10.0,19.33,90.3,90.3
Akron,1.47,18.7,38.33,2.7,0.597,13.0,49.21,40.659,14.3,16.0,81.25,13.0,9.0,29.33,11.33,,61.7,89.0,27.0,9.3,33.3,40.0,31.2,13.3,2.0,12.7,14.67,89.0,81.2
UNC Greensboro,1.48,14.3,22.67,1.7,0.533,8.0,45.41,42.105,20.3,14.3,76.74,11.0,3.0,25.67,11.67,,74.7,80.7,6.0,6.0,27.3,37.8,30.0,10.3,1.3,9.7,11.0,80.7,80.7
LMU (CA),1.47,15.7,36.33,3.3,0.61,13.33,52.36,42.515,23.0,22.3,65.67,14.7,8.0,29.0,9.67,,72.3,92.3,20.0,7.3,27.7,39.76,33.3,11.0,3.0,10.7,13.67,92.3,84.4
FDU,1.49,18.8,34.4,2.2,0.56,19.0,47.09,40.181,17.6,23.6,70.34,16.6,-2.0,29.6,10.2,,74.0,89.8,15.0,10.4,31.4,36.94,31.9,11.6,4.0,12.6,16.6,89.8,89.8
William & Mary,1.31,14.4,25.8,1.2,0.528,7.2,44.26,40.569,19.0,21.6,74.07,16.0,5.0,27.6,10.6,,69.8,80.4,10.0,5.4,30.0,34.67,31.3,10.4,1.8,11.0,12.8,80.4,77.0
Delaware,1.45,16.0,23.0,3.8,0.602,7.5,52.65,38.43,15.2,20.0,62.5,12.5,5.0,28.5,8.75,,62.2,80.5,18.0,5.8,18.8,45.33,27.8,8.5,-0.2,11.0,10.75,80.5,80.5
Maine,1.33,13.5,28.33,3.0,0.535,10.5,48.4,44.164,17.0,17.2,74.76,12.8,1.0,24.83,7.67,,66.2,74.0,7.0,9.8,19.5,29.91,32.7,5.8,4.3,10.2,14.5,74.0,74.0
Oklahoma St.,1.21,14.5,20.0,3.0,0.496,8.25,42.17,41.593,17.2,18.2,60.27,11.0,0.0,25.0,10.25,,66.5,68.0,1.0,6.2,26.0,32.69,33.0,8.5,1.2,12.0,13.25,68.0,73.6
Yale,1.58,13.6,20.4,3.0,0.536,8.2,48.36,40.256,13.8,17.0,74.12,12.6,0.0,28.2,7.0,,68.8,77.8,9.0,5.0,17.8,35.96,30.1,6.4,1.8,8.6,10.4,77.8,76.7
Columbia,1.43,18.0,33.4,2.2,0.529,18.2,46.41,38.721,16.6,19.0,83.16,15.8,1.0,26.6,9.4,,65.0,80.6,15.0,11.8,23.6,33.9,27.0,8.0,4.4,12.6,17.0,80.6,80.6
UNC Asheville,1.8,22.0,40.0,5.0,0.612,12.75,52.61,40.873,18.8,24.8,66.67,16.5,4.0,26.75,10.5,,73.8,92.8,19.0,6.5,29.5,36.44,37.4,10.8,3.8,12.2,16.0,92.8,92.8
SMU,1.43,16.5,30.0,5.8,0.46,18.0,41.03,36.885,18.8,23.0,70.65,16.2,8.0,29.0,17.0,,65.5,79.0,13.0,11.0,22.2,30.34,26.7,6.8,3.2,11.5,14.75,79.0,77.2
Xavier,1.22,16.8,19.5,2.5,0.496,10.5,44.94,38.71,17.5,20.0,66.25,13.2,1.0,28.25,11.5,,69.0,74.5,5.0,7.2,20.2,28.4,26.6,5.8,-0.8,13.8,13.0,74.5,72.8
FGCU,1.26,12.2,26.75,2.8,0.498,7.5,43.32,45.299,19.5,19.0,73.68,14.0,0.0,25.5,11.0,,79.5,75.5,-4.0,5.5,27.2,29.36,34.2,8.0,-0.8,9.8,9.0,75.5,71.5
