Team,ATRatio,Apg,BPpg,Bpg,EFG%,FbP,Fg%,Fg%D,Fpg,FTApg,FTp,FTMpg,RM,RDpg,ROpg,Rpg,SD,SO,SM,Spg,3PApg,3P%,3PD%,3Ppg,TOM,Tpg,TFpg,PPG_x,PPG_y
CSU Bakersfield,0.76,9.2,22.0,4.5,0.461,9.0,42.86,39.331,20.0,21.2,69.41,14.8,0.0,24.5,12.75,,71.0,68.0,-3.0,6.0,15.0,25.0,36.6,3.8,0.0,12.2,12.25,68.0,69.4
Navy,0.76,9.7,27.0,1.7,0.421,6.33,36.97,46.154,20.7,13.3,80.0,10.7,-3.0,21.67,10.33,,69.0,57.0,-12.0,5.3,21.7,26.15,28.6,5.7,-1.0,12.7,11.67,57.0,57.5
Texas St.,0.75,12.0,14.0,4.5,0.433,12.0,39.33,41.333,22.5,24.2,61.86,15.0,7.0,26.0,16.5,,72.8,66.8,-6.0,6.2,18.0,26.39,29.8,4.8,-3.2,16.0,12.75,66.8,66.8
Tennessee Tech,0.98,12.0,22.5,3.2,0.481,7.75,43.46,48.221,15.8,13.5,61.11,8.2,-3.0,26.25,7.25,,81.0,65.2,-15.0,3.8,19.2,28.57,37.2,5.5,-3.5,12.2,8.75,65.2,64.8
The Citadel,0.85,10.2,17.0,3.2,0.461,11.25,40.69,45.378,14.0,21.5,67.44,14.5,4.0,27.25,11.0,,69.2,67.8,-1.0,5.0,23.0,27.17,35.0,6.2,-1.0,12.0,11.0,67.8,66.6
ETSU,0.67,9.8,11.75,5.2,0.436,13.25,37.85,41.057,19.2,17.5,67.14,11.8,-1.0,27.75,12.25,,71.0,66.5,-4.0,7.2,27.0,26.85,33.0,7.2,0.8,14.5,15.25,66.5,66.5
Maryland,0.69,9.5,14.0,4.5,0.411,12.0,36.62,40.594,17.2,20.5,69.51,14.2,0.0,22.25,12.25,,60.0,58.0,-2.0,8.2,22.0,21.59,33.3,4.8,1.2,13.8,15.0,58.0,58.0
Radford,0.68,10.2,15.6,3.0,0.498,5.4,44.41,39.735,18.0,14.2,69.01,9.8,4.0,28.0,11.8,,68.8,68.6,0.0,7.0,20.2,31.68,25.6,6.4,-5.2,15.0,9.8,68.6,68.6
Cal Poly,0.85,9.0,20.4,2.8,0.47,6.0,42.62,48.062,21.2,16.8,71.43,12.0,-4.0,23.2,9.0,,74.4,68.0,-6.0,5.8,15.4,33.77,38.5,5.2,2.6,10.6,13.2,68.0,66.3
South Alabama,0.8,10.6,22.4,3.6,0.482,6.4,42.3,48.377,20.2,22.0,68.18,15.0,-2.0,27.4,9.2,,83.6,73.8,-9.0,4.8,24.8,29.03,35.2,7.2,-3.0,13.2,10.2,73.8,75.8
Mount St. Mary's,0.82,12.3,30.33,3.7,0.456,10.33,41.99,44.311,18.3,15.3,73.91,11.3,0.0,23.33,12.33,,70.3,66.3,-4.0,7.7,17.0,25.49,25.4,4.3,-0.3,15.0,14.67,66.3,66.3
Winthrop,0.72,9.6,28.2,2.6,0.564,5.8,49.42,39.051,15.0,27.8,71.22,19.8,3.0,24.6,9.8,,61.6,77.8,16.0,7.8,18.8,38.3,27.0,7.2,1.0,13.4,14.4,77.8,77.8
